Tallformatet viser til kolonnenummer:
0=PowerA, 1=PowerB, 2=Integrert_Avvik 
44.8,44.8,-263.15457177162165
39.199999999999996,39.199999999999996,-265.8088114261627
39.199999999999996,39.199999999999996,-268.5304090976715
39.199999999999996,39.199999999999996,-271.185316324234
39.199999999999996,39.199999999999996,-273.7309019565582
39.199999999999996,39.199999999999996,-276.51561188697815
39.199999999999996,39.199999999999996,-279.39088463783264
39.199999999999996,39.199999999999996,-282.62397599220276
39.199999999999996,39.199999999999996,-285.2816870212555
39.199999999999996,39.199999999999996,-288.0869448184967
39.199999999999996,39.199999999999996,-290.77512383461
39.199999999999996,39.199999999999996,-293.62210488319397
39.199999999999996,39.199999999999996,-296.37797570228577
39.199999999999996,39.199999999999996,-299.19639801979065
39.199999999999996,39.199999999999996,-301.8605978488922
39.199999999999996,39.199999999999996,-305.05534386634827
39.199999999999996,39.199999999999996,-307.7334825992584
37.8,37.8,-310.7512767314911
34.3,34.3,-313.2642431259155
34.3,34.3,-315.85075092315674
35.0,35.0,-318.48545503616333
37.8,37.8,-321.35707092285156
32.199999999999996,32.199999999999996,-323.9361963272095
30.799999999999997,30.799999999999997,-326.8193407058716
27.299999999999997,27.299999999999997,-328.8215582370758
30.799999999999997,30.799999999999997,-331.07106041908264
33.599999999999994,33.599999999999994,-333.60190987586975
32.199999999999996,32.199999999999996,-335.9962041378021
24.5,24.5,-337.8560013771057
21.7,21.7,-339.41266655921936
14.7,14.7,-340.6187171936035
8.399999999999999,8.399999999999999,-341.2340888977051
2.0999999999999996,2.0999999999999996,-341.39306807518005
1.4,1.4,-341.49912428855896
1.4,1.4,-341.60525393486023
2.8,2.8,-341.81675028800964
5.6,5.6,-342.2707736492157
5.6,5.6,-342.7398135662079
2.0999999999999996,2.0999999999999996,-342.910630941391
2.8,2.8,-343.1338269710541
1.4,1.4,-343.2352030277252
1.4,1.4,-343.3557689189911
1.4,1.4,-343.4585268497467
1.4,1.4,-343.58467268943787
0.0,0.0,-343.58467268943787
0.0,0.0,-343.58467268943787
-3.5,-3.5,-343.32386302948004
0.0,0.0,-343.32386302948004
0.0,0.0,-343.32386302948004
-3.5,-3.5,-343.06106376647955
-3.5,-3.5,-342.790233373642
-3.5,-3.5,-342.50829863548284
-3.5,-3.5,-342.1961586475373
-3.5,-3.5,-341.92167329788214
-3.5,-3.5,-341.63798856735235
-3.5,-3.5,-341.368787765503
-3.5,-3.5,-341.09167385101324
-6.3,-6.3,-340.6117215156555
-9.799999999999999,-9.799999999999999,-339.82954072952276
-4.8999999999999995,-4.8999999999999995,-339.40935087203985
-9.1,-9.1,-338.68704462051403
-4.8999999999999995,-4.8999999999999995,-338.2253751754762
-4.8999999999999995,-4.8999999999999995,-337.8153557777406
-4.8999999999999995,-4.8999999999999995,-337.40223717689526
-4.8999999999999995,-4.8999999999999995,-337.02501392364513
-9.799999999999999,-9.799999999999999,-336.09671831131
-4.8999999999999995,-4.8999999999999995,-335.6719372272493
-4.8999999999999995,-4.8999999999999995,-335.2634582519533
-9.799999999999999,-9.799999999999999,-334.4653759002686
-4.8999999999999995,-4.8999999999999995,-334.05458712577826
-9.799999999999999,-9.799999999999999,-333.26934218406683
-4.8999999999999995,-4.8999999999999995,-332.84803247451794
-6.3,-6.3,-332.3214783668519
-4.8999999999999995,-4.8999999999999995,-331.8926384449006
-4.8999999999999995,-4.8999999999999995,-331.48756241798407
-4.8999999999999995,-4.8999999999999995,-331.08938741683966
-9.799999999999999,-9.799999999999999,-330.259608745575
-4.8999999999999995,-4.8999999999999995,-329.8578505516053
-9.1,-9.1,-329.0791623592377
-9.1,-9.1,-328.16016864776617
-9.1,-9.1,-327.3617990016937
-4.8999999999999995,-4.8999999999999995,-326.95423793792725
-4.8999999999999995,-4.8999999999999995,-326.5371005535126
-9.1,-9.1,-325.76449656486517
-9.1,-9.1,-324.99749946594244
-9.1,-9.1,-324.240067243576
-9.1,-9.1,-323.41981863975525
-9.1,-9.1,-322.6623740196228
-9.1,-9.1,-321.85796046257025
-4.8999999999999995,-4.8999999999999995,-321.44671607017517
-4.8999999999999995,-4.8999999999999995,-321.0249524116516
-4.8999999999999995,-4.8999999999999995,-320.58201336860657
-4.8999999999999995,-4.8999999999999995,-320.17281508445734
-6.3,-6.3,-319.5616340637207
-4.8999999999999995,-4.8999999999999995,-319.1545903682709
-4.8999999999999995,-4.8999999999999995,-318.74019002914434
-4.8999999999999995,-4.8999999999999995,-318.33515739440924
-4.8999999999999995,-4.8999999999999995,-317.9006381034851
-4.8999999999999995,-4.8999999999999995,-317.4922943115235
-4.8999999999999995,-4.8999999999999995,-317.0315260887146
-4.8999999999999995,-4.8999999999999995,-316.6137728691101
-4.8999999999999995,-4.8999999999999995,-316.2062468528748
-4.8999999999999995,-4.8999999999999995,-315.79253244400024
-4.8999999999999995,-4.8999999999999995,-315.3831722736359
-4.8999999999999995,-4.8999999999999995,-314.8909964561463
-4.8999999999999995,-4.8999999999999995,-314.43433713912964
-4.8999999999999995,-4.8999999999999995,-313.9791898727417
-4.8999999999999995,-4.8999999999999995,-313.5309019088745
-4.8999999999999995,-4.8999999999999995,-313.11464071273804
-4.8999999999999995,-4.8999999999999995,-312.6811594963073
-4.8999999999999995,-4.8999999999999995,-312.2518489360809
-4.8999999999999995,-4.8999999999999995,-311.84162759780884
-4.8999999999999995,-4.8999999999999995,-311.3759660720825
-4.8999999999999995,-4.8999999999999995,-310.9480357170105
-9.1,-9.1,-310.14225530624384
-4.8999999999999995,-4.8999999999999995,-309.69652414321894
-4.8999999999999995,-4.8999999999999995,-309.26146078109736
-9.1,-9.1,-308.421620607376
-9.1,-9.1,-307.51089310646057
-9.1,-9.1,-306.6710529327392
-9.1,-9.1,-305.8732690811157
-9.1,-9.1,-305.06006860733027
-9.1,-9.1,-304.2364013195038
-10.5,-10.5,-303.30370068550104
-10.5,-10.5,-302.3874866962432
-9.799999999999999,-9.799999999999999,-301.4325182437896
-10.5,-10.5,-300.36529588699335
-10.5,-10.5,-299.42076134681696
-11.899999999999999,-11.899999999999999,-298.3709597587584
-11.899999999999999,-11.899999999999999,-297.3066439628599
-11.899999999999999,-11.899999999999999,-296.17933869361866
-11.899999999999999,-11.899999999999999,-294.97850990295393
-11.899999999999999,-11.899999999999999,-293.87337517738325
-11.899999999999999,-11.899999999999999,-292.79531931877125
-11.899999999999999,-11.899999999999999,-291.70352745056135
-15.399999999999999,-15.399999999999999,-290.2324981689452
-16.099999999999998,-16.099999999999998,-288.61332011222834
-19.599999999999998,-19.599999999999998,-286.5847756862638
-19.599999999999998,-19.599999999999998,-284.6965415477752
-22.4,-22.4,-282.52297282218933
-22.4,-22.4,-280.42802500724787
-23.799999999999997,-23.799999999999997,-278.17317938804615
-23.799999999999997,-23.799999999999997,-275.62757134437555
-25.2,-25.2,-273.00126385688776
-25.2,-25.2,-270.5434334278105
-28.7,-28.7,-267.80942821502697
-28.0,-28.0,-265.1361932754513
-29.4,-29.4,-262.33979082107527
-30.799999999999997,-30.799999999999997,-259.17283868789656
-34.3,-34.3,-255.86559009551968
-35.699999999999996,-35.699999999999996,-252.44211363792402
-35.699999999999996,-35.699999999999996,-249.05668377876302
-35.699999999999996,-35.699999999999996,-245.62219095230122
-35.699999999999996,-35.699999999999996,-241.96553468704207
-35.699999999999996,-35.699999999999996,-238.14099431037886
-40.599999999999994,-40.599999999999994,-234.16179680824263
-39.9,-39.9,-230.26446986198428
-37.099999999999994,-37.099999999999994,-226.68787360191348
-37.099999999999994,-37.099999999999994,-223.06691169738772
-39.9,-39.9,-219.17786097526553
-40.599999999999994,-40.599999999999994,-214.89792609214786
-41.3,-41.3,-210.81660079956038
-42.699999999999996,-42.699999999999996,-206.6085748672488
-42.699999999999996,-42.699999999999996,-202.4890608787535
-41.3,-41.3,-198.5609078407286
-42.699999999999996,-42.699999999999996,-193.90984225273158
-42.699999999999996,-42.699999999999996,-189.43645501136763
-40.599999999999994,-40.599999999999994,-185.3063910007477
-37.099999999999994,-37.099999999999994,-181.50497174263003
