Tall viser til kolonnenummer:
0=Tid, 1=UfiltrertAvstand 
0,24
0.09443902969360352,24
0.1822800636291504,24
0.2857902050018311,23
0.3923242092132568,23
0.488563060760498,24
0.5918440818786621,23
0.7048530578613281,25
0.8023581504821777,24
0.9052810668945313,20
1.002088069915771,25
1.112133026123047,24
1.214276075363159,20
1.315537214279175,28
1.415823221206665,25
1.514304161071777,21
1.62131404876709,27
1.724750995635986,29
1.828275203704834,25
1.934871196746826,19
2.035201072692871,25
2.131567001342773,26
2.24406099319458,39
2.342338085174561,34
2.446874141693115,100
2.530225992202759,100
2.614689111709595,100
2.702654123306274,100
2.782741069793701,100
2.86278510093689,100
2.941793203353882,100
3.028662204742432,100
3.111552000045776,100
3.198456048965454,100
3.276947021484375,100
3.364207029342651,100
3.467069149017334,100
3.564858198165894,100
3.64558219909668,100
3.736713171005249,100
3.794607162475586,100
