Tall viser til kolonnenummer:
0=Tid, 1=Avstand 
0,33
0.0623009204864502,33
0.119804859161377,32
0.1841428279876709,33
0.2493219375610352,31
0.3161280155181885,32
0.3772428035736084,34
0.4401648044586182,33
0.5071048736572266,33
0.5704410076141357,34
0.6467559337615967,33
0.7364368438720703,33
0.7932248115539551,32
0.8601348400115967,32
0.9278669357299805,32
0.9929099082946777,33
1.063031911849976,34
1.136693000793457,33
1.206757783889771,33
1.276001930236816,32
1.350219011306763,33
1.419591903686523,32
1.497076988220215,32
1.566465854644775,31
1.639411926269531,30
1.74735689163208,27
1.817417860031128,27
1.888021945953369,27
1.958847999572754,26
2.026496887207031,25
2.098982810974121,25
2.155844926834106,25
2.223256826400757,27
2.291451930999756,28
2.356592893600464,31
2.42742395401001,33
2.491830825805664,34
2.560048818588257,36
2.627341985702515,35
2.698566913604736,38
2.760826826095581,39
2.822762966156006,40
2.889871835708618,41
2.948004007339478,41
3.019492864608765,40
3.087346792221069,39
3.154613971710205,37
3.216300964355469,35
3.28645396232605,34
3.346346855163574,33
3.407864809036255,31
3.473261833190918,30
3.544134855270386,29
3.612892866134644,28
3.682845830917358,27
3.756740808486938,26
3.826967000961304,27
3.896016836166382,27
3.953133821487427,27
4.026261806488037,30
4.083532810211182,31
4.151925802230835,35
4.214407920837402,37
4.282799959182739,38
4.349529981613159,40
4.421911954879761,41
4.492926836013794,42
4.558275938034058,40
4.626672983169556,38
4.714089870452881,34
4.783585786819458,33
4.854333877563477,30
4.919595003128052,29
4.992672920227051,28
5.066657781600952,27
5.135655879974365,25
5.206817865371704,26
5.276332855224609,28
5.352917909622192,33
5.427779912948608,35
5.501585960388184,40
5.579765796661377,40
5.650019884109497,39
5.729343891143799,35
5.828426837921143,30
5.897880792617798,28
5.963514804840088,26
6.044250011444092,26
6.112648010253906,27
6.177588939666748,29
6.241199970245361,33
6.316125869750977,38
6.381718873977661,41
6.447106838226318,40
6.514430999755859,37
6.581756830215454,35
6.646925926208496,28
6.713575839996338,26
6.784473896026611,25
6.850565910339355,27
6.913939952850342,31
6.979673862457275,34
7.041520833969116,39
7.113639831542969,43
7.179823875427246,39
7.244125843048096,35
7.307658910751343,29
7.371340990066528,25
7.436070919036865,26
7.507885932922363,31
7.56924295425415,37
7.638477802276611,41
7.703634977340698,38
7.773911952972412,33
7.840063810348511,27
7.914527893066406,26
7.976508855819702,30
8.03679895401001,38
8.10332989692688,44
8.166899919509888,37
8.230715990066528,31
8.29808783531189,27
8.364007949829102,29
8.429226875305176,36
8.49144983291626,40
8.556756973266602,36
8.619494915008545,31
8.683488845825195,27
8.758682012557983,32
8.839531898498535,39
8.906968832015991,36
8.97423791885376,28
9.039169788360596,27
9.111111879348755,34
9.175903797149658,40
9.233927011489868,37
9.303104877471924,30
9.360376834869385,28
9.42711877822876,30
9.488729000091553,38
9.556302785873413,38
9.621848821640015,30
9.686986923217773,25
9.757186889648438,29
9.825996875762939,38
9.894428014755249,37
9.960414886474609,29
10.02973294258118,27
10.09466695785523,34
10.15373301506042,39
10.22433996200562,33
10.29027891159058,27
10.36125683784485,30
10.4265878200531,39
10.48973178863525,38
10.55990791320801,27
10.61971783638,27
10.68356680870056,34
10.75760698318482,39
10.82584595680237,30
10.89696788787842,26
10.95354890823364,32
11.02700781822205,39
11.08729290962219,34
11.15707087516785,27
11.22527289390564,34
11.29071092605591,40
11.35766482353211,34
11.41823697090149,27
11.48611688613892,34
11.55295491218567,39
11.61644387245178,30
11.67803382873535,25
11.74695086479187,36
11.81439900398255,39
11.8773558139801,29
11.94712281227112,29
12.01109290122986,39
12.07662391662598,35
12.14141988754273,25
12.20161581039429,29
12.26461982727051,39
12.33728885650635,35
12.39748692512512,28
12.45672297477722,32
12.52695178985596,39
12.58184385299683,33
12.61342883110046,29
12.66977095603943,28
