Tall viser til kolonnenummer:
0=Tid, 1=UfiltrertAvstand 
0,28
0.1000368595123291,23
0.2018129825592041,23
0.2964279651641846,23
0.3999679088592529,25
0.5010519027709961,22
0.5990028381347656,23
0.7062788009643555,20
0.8092119693756104,24
0.9087510108947754,23
1.008107900619507,23
1.119273900985718,26
1.22498083114624,18
1.323946952819824,23
1.42225193977356,20
1.528470993041992,21
1.632272958755493,26
1.731528997421265,24
1.829238891601563,25
1.933669805526733,22
2.039268970489502,29
2.145861864089966,29
2.245898962020874,30
2.357860803604126,26
2.452605009078979,100
2.551324844360352,100
2.64971399307251,86
2.740927934646606,96
2.840903997421265,100
2.928364992141724,100
3.022644996643066,100
3.115933895111084,100
3.225870847702026,94
3.312240839004517,95
3.407480001449585,100
3.498697996139526,100
3.596431016921997,100
3.692263841629028,98
3.782410860061646,100
3.877660989761353,100
3.970939874649048,98
4.060545921325684,100
4.160141944885254,100
4.25541090965271,96
4.354276895523071,100
4.442996025085449,100
4.535735845565796,100
4.602399826049805,100
