Tall viser til kolonnenummer:
0=Tid, 1=UfiltrertAvstand 
0,40
0.1126968860626221,37
0.2307789325714111,36
0.3425159454345703,30
0.4538989067077637,34
0.5796871185302734,33
0.6909730434417725,35
0.8108270168304443,34
0.9226861000061035,33
1.040920972824097,33
1.163242101669312,35
1.28078293800354,32
1.396178960800171,30
1.510581970214844,32
1.632661104202271,40
1.750938892364502,44
1.870878934860229,37
1.983468055725098,33
2.093348979949951,20
2.213969945907593,22
2.342935085296631,19
2.458219051361084,18
2.578979969024658,23
2.693991899490356,18
2.807332038879395,25
2.945081949234009,29
3.06518292427063,22
3.188839912414551,27
3.3125,34
3.444004058837891,30
3.565835952758789,39
3.68268895149231,44
3.813486099243164,54
3.936026096343994,59
4.049007892608643,53
4.165362119674683,63
4.296036958694458,64
4.418551921844482,61
4.553951025009155,66
4.673893928527832,62
4.786586999893188,67
4.912899017333984,58
5.034250974655151,61
5.163427114486694,55
5.283689975738525,51
5.412652015686035,39
5.535360097885132,36
5.663957118988037,32
5.786783933639526,30
5.912584066390991,20
6.032912015914917,21
6.153669118881226,18
6.293564081192017,18
6.406543016433716,25
6.535904884338379,18
6.670855045318604,20
6.792361974716187,23
6.912658929824829,16
7.040262937545776,22
7.162642955780029,26
7.293126106262207,19
7.41797399520874,30
7.54137396812439,28
7.67444109916687,36
7.823081016540527,35
7.958949089050293,43
8.082819938659668,41
8.215306997299194,48
8.339641094207764,51
8.45094895362854,55
8.570437908172607,57
8.692615985870361,66
8.804375886917114,65
8.944807052612305,66
9.061142921447754,62
9.190536975860596,60
9.32086706161499,58
9.45050311088562,54
9.573071002960205,49
9.70489501953125,48
9.826411008834839,36
9.948734045028687,28
10.0752649307251,26
10.2111029624939,26
10.33110809326172,23
10.47051596641541,21
10.59426307678223,16
10.73458290100098,20
10.86289405822754,23
10.97371292114258,18
11.09262895584106,28
11.21042704582214,25
11.33316588401794,28
11.44302392005921,25
11.55385088920593,32
11.6759569644928,28
11.79042506217957,38
11.91272401809693,38
12.03023600578308,44
12.15383100509644,50
12.27082300186157,54
12.38402104377747,60
12.50312209129333,57
12.62444591522217,57
12.74320411682129,62
12.86032295227051,64
12.97338509559631,69
13.09325504302979,59
13.21296310424805,57
13.33369302749634,65
13.45071291923523,58
13.56970596313477,57
13.68748497962952,45
13.80342197418213,49
13.92185711860657,40
14.04032802581787,38
14.1473228931427,41
14.26756501197815,30
14.38089108467102,33
14.50138306617737,29
14.61826705932617,34
14.73122191429138,29
14.86055111885071,29
14.98459696769714,25
15.08972692489624,27
15.1696789264679,30
