Tallformatet viser til kolonnenummer:
0=Fart, 1=iir_Fart 
0, 0
0, 0
0.0, 0.5749740931264515
14.47909417288042, 0.8458107652029991
56.98008422768646, 1.955096091613661
0.0, 2.018502911943774
56.80913973033191, 3.008223918257796
14.17233992228417, 3.225290360350547
0.0, 3.445099874423879
29.23807366150007, 3.779962373636001
-14.2600346785435, 3.328193762751627
0.0, 3.203791072700225
28.69646485724646, 3.790096177616366
0.0, 3.729168984793386
13.06010200713676, 3.574424128106056
-15.08709883959339, 3.744867788137798
-31.89730329900984, 3.241599008406635
-40.307496163986, 1.870095643192712
-15.23345742459186, 1.773226868643349
-39.41656929664912, 0.7104885567425976
0.0, 0.7396209943058584
-49.62459674556913, -0.1334242006224582
-14.6115504399869, -0.4077308137670521
-30.04440433083698, -1.011694211802667
-29.88960745119418, -1.584144205402689
-38.95698695026239, -2.128086091751679
-15.13042098048411, -2.732585490643193
0.0, -2.811282330158467
-15.23417670945293, -2.947055095184186
0.0, -2.803496505535243
0.0, -2.847270574456925
0.0, -2.567054128044673
-15.31936404045422, -3.039857241110764
0.0, -2.80081672586556
0.0, -2.750429414341375
16.31136345959399, -2.720130765525236
0.0, -2.539550588131909
13.33116354759968, -1.868484126497894
16.02898307027936, -1.881096307635558
29.241946672523, -1.096701914123129
25.36882534037368, -0.425037426812991
0.0, -0.5033641193848274
34.1710137725112, 0.1335796434305936
27.25653664321804, 0.649549644775763
27.27213261852667, 1.182365538091176
42.67057327432728, 2.062048665839225
29.03979007567523, 2.643710358468969
15.13730132378629, 3.003748161861703
14.00402661707406, 3.003371622592045
13.55511172299678, 3.120055483625524
15.08861852376807, 3.70534302108361
0.0, 3.251903214741041
-15.1634599394084, 3.272993391897244
15.71836411945691, 3.639279938075267
-14.41272241198018, 2.981989993597684
-37.58887053362052, 1.788752174831112
-49.74210457655863, 1.324907625586934
-15.09638454478377, 0.8802471810158494
-15.62083670071916, 0.5801939093831804
-56.90471118949904, -0.6202690245014871
-14.16894071704372, -0.8887968021319084
-43.45738500963577, -1.759646853351788
-33.32171315532323, -2.64981725089825
-27.82881938454597, -2.72532622437842
0.0, -2.84512157535378
-12.39817913094886, -2.580152713316998
-28.51241124506728, -3.477733548793023
0.0, -3.274968970342918
14.96020887132442, -3.205748532174099
14.25087744929821, -2.707656902357467
0.0, -2.813579709944211
14.84625295558482, -2.41214997706286
26.31546784368716, -1.568741772813426
26.39977592658449, -1.014296752472057
29.80411997527162, -0.5261096123346732
14.44419037123769, -0.2108620569017548
28.55103450857865, 0.3667889847504964
61.70158398581879, 1.622438483575709
58.69668927925439, 2.686490290061407
30.19820364670519, 3.312963106199357
29.65912160489898, 3.781927870505261
-14.19690087260271, 3.264233279334351
16.0782001694337, 3.944420611680058
-27.92042523306939, 2.797915636825761
13.0790799780472, 2.830473644634854
-31.01837006360006, 2.66888327728001
-43.32003966068084, 1.568797157780222
-29.94680080109383, 0.9952746733855047
-57.28456167306872, -0.2128103505897563
0.0, -0.2416313391343592
-42.60887468169258, -1.054873926235251
-30.80954777006902, -1.737442751673048
-39.02585717608746, -2.218363387825933
0.0, -2.581513805306221
-16.44309236318018, -3.021866728215171
-14.51964371639936, -2.905405837666101
-13.4504815077301, -2.906644966818122
14.32745110095441, -2.747685650833982
0.0, -2.731084254744754
13.21211243026659, -2.169208287655768
-15.33482258742665, -2.774063871872023
27.65678791735216, -1.898384688708201
14.85466574112114, -1.701394194387367
33.8300794876655, -1.222032004643551
28.27417354257672, -0.435427747425153
0.0, -0.4698690767494018
56.31336640642307, 0.7098202422683075
40.20639191201375, 1.466339468516803
49.37457130973216, 2.752183098970731
43.2338589143185, 3.226373549473807
-14.75428543287005, 2.942014613283165
43.54446009405918, 3.707268949242971
-15.5024782208555, 3.570289213462578
12.66862793661917, 3.112660714249373
0.0, 3.399474940498611
-14.34288430433162, 3.097613720801654
-28.96278751804001, 2.485721125378889
-28.82970467847311, 1.848219256831184
-46.84924958020426, 1.025248810504946
-28.16074767610102, 0.3427015077947203
-28.92384078559016, -0.2335286245914889
-28.84427695100817, -0.8051140473350243
-29.89216367517256, -1.415519130054659
-44.24262412669168, -2.253633854262247
-14.81745888753466, -2.515381056355859
0.0, -2.513901191218742
-39.30047599415315, -2.921800568769834
13.83049148434538, -2.746387077539635
-14.29614809108788, -3.068000611917598
-11.31104189420601, -2.605060058568556
25.00688026901017, -2.321951512305027
13.65004523649902, -2.211183286355576
15.31790940664751, -2.125376694905649
0.0, -2.055165923359395
27.66253363583602, -1.289856240959283
14.95978200390909, -1.068000081503262
44.38980611294556, -0.1474273010831418
13.98110654071027, 0.1431061346250898
30.5871148173402, 0.7651514590242062
29.92714260741132, 1.332211948690583
56.38736955316181, 2.357693228027962
25.0789505154146, 2.556858510646972
15.3357757643566, 3.371212219903236
30.61435208332573, 3.90991377555017
0.0, 3.576938780381393
-13.76820281187118, 3.102183785296044
-12.07146804199668, 2.424056808819586
-15.46121889272668, 2.733429203564912
-39.65632416112248, 1.497115534860274
-63.83757148673382, 0.4946074435762218
-29.14006224988884, -0.1402833505286001
-29.05548127879187, -0.7181882709629143
-15.74379340114861, -1.07761440259559
-26.14511544407321, -1.399783286589226
-33.43087149893992, -2.422675688961161
-30.04494237147298, -2.73465621695177
-14.75252100692551, -2.926855223271825
0.0, -5.412381813979811
-23.64293525439398, -4.977793851379613
