Tallformatet viser til kolonnenummer:
0=FiltrertAvstand, 1=RawFart, 2=Fart, 3=FiltrertFart, 4=UfiltrertAkselerasjon 
28, 0, 0, 0, 0
25.0, -49.98157703445071, -29.98894622067043, -29.98894622067043, 0
23.8, 0.0, -11.79058470764621, -19.0699293128559, 107.28466147984
23.32, 0.0, -5.073192287145545, -10.67188709742969, 88.76017290504835
24.328, 19.3162168012195, 9.735373267814651, 1.572469121716916, 118.257319660198
22.9312, -29.67828915247761, -13.8182114293936, -7.661939208949393, -91.35381352985426
22.97248, 10.20919296264203, 0.421435485497831, -2.811914392281059, 49.51483922696955
21.188992, -27.9652582076151, -16.62523414339433, -11.09990624294902, -77.25861070884645
22.8755968, 38.86016588956601, 16.38543557953455, 5.391298850541121, 160.2127414129707
22.95023872, -10.04630931479747, 0.7498758161703803, 2.606445029918676, -27.97750287846859
22.980095488, 0.0, 0.3005002278424438, 1.222878148672937, -13.9252233547056
24.7920381952, 26.98666849681725, 16.29943239147737, 10.2688106943556, 81.37319428496937
20.71681527808, -75.68094152248588, -38.55208841020664, -19.02372876838174, -277.1108707655668
22.086726111232, 50.52233951827779, 13.84222004445441, 0.6958405193199466, 199.2557549414936
20.8346904444928, -30.51727173731146, -12.736237555562, -7.363406325609221, -81.98207532159115
20.93387617779712, 9.414506806729291, 0.9337847613239632, -2.385091673449311, 46.86837717879963
23.97355047111885, 48.16864464590459, 29.28339817486109, 16.61600223553693, 183.051388077084
23.98942018844754, -20.14990752083784, 0.1598866682774809, 6.742332895181259, -99.47676204974931
24.59576807537902, 10.23437808820838, 6.205593527842963, 6.420289274778281, -3.295916172099533
23.03830723015161, -28.72712578336358, -14.91379120117053, -6.380159010791004, -122.5733626609965
26.61532289206064, 66.28840296670919, 33.87352223069372, 17.77204973409983, 228.715906545343
28.04612915682426, 0.0, 13.42309244485498, 15.16267536055292, -24.47981554312126
29.21845166272971, 9.996291582655283, 11.71887759793999, 13.09639670298516, -20.65512395206487
27.28738066509188, -35.7264577237746, -17.24758158967875, -5.109990272613185, -162.6124286465987
70.91495226603675, 781.0504043927064, 460.4774654268884, 274.2424831470877, 2948.491382872435
88.36598090641472, 0.0, 176.7732755088063, 215.7609585641189, -592.3989278981714
86.9463923625659, -142.2921143566108, -14.42830395861932, 77.64740105047595, -1403.747865709258
92.37855694502636, 109.6323635118498, 59.55410421605026, 66.79142294982054, -119.0166537407735
96.95142277801054, 40.00957718264852, 45.73960712266919, 54.16033345352973, -126.341137525697
98.78056911120423, 0.0, 20.91385238688351, 34.21244481354199, -228.0775413513735
99.5122276444817, 0.0, 7.760484708791688, 18.34126875069181, -168.3408496509367
99.80489105779268, 0.0, 3.137172998256702, 9.218811299230746, -97.78717083457188
96.32195642311707, -54.57673565252468, -31.68120047528548, -15.32119576547899, -223.2189130802919
95.52878256924684, 11.57809541160817, -9.183442558102636, -11.63854384105318, 42.63809534874449
98.21151302769875, 52.49941170874827, 28.16835416837321, 12.24559496460265, 250.7806472934033
99.28460521107951, 0.0, 11.76404049473251, 11.95666228268057, -3.16749653293953
99.71384208443181, 0.0, 4.391932940532647, 7.417824677391815, -46.44118813631137
98.68553683377272, -20.86967598121169, -10.73019869551691, -3.470989346353422, -113.6230102476185
99.47421473350909, 22.18598057677253, 8.748796282440434, 3.860882030922892, 81.33237798382337
99.78968589340363, 0.0, 3.312028664833544, 3.531570011269283, -3.457339330579638
98.71587435736146, -21.44107964420816, -11.51183933357485, -5.494475595637198, -96.76408136496851
99.48634974294459, 22.31992230633124, 8.598475372577983, 2.961294985291911, 94.36607120324952
99.79453989717783, 0.0, 3.094402198185253, 3.041159313027916, 0.8018826945258187
97.51781595887113, -41.98639094865449, -23.89785533897638, -13.12224947817466, -169.6608001425875
99.00712638354847, 40.45880860627867, 15.0639313568389, 3.789459022833476, 171.056894361866
99.6028505534194, 0.0, 6.714720633638358, 5.544615989316405, 19.78329786530297
99.84114022136778, 0.0, 2.569442842504503, 3.759512101229263, -19.24851567364678
99.93645608854713, 0.0, 1.429795618073179, 2.361682211335613, -20.96829321838889
