Tall viser til kolonnenummer:
0=Tid, 1=Lys, 2=joyForward, 3=joySide
0,35,0,0
0.08290600776672363,34,0,0
0.1597800254821777,34,0,0
0.2323179244995117,34,0,0
0.3132030963897705,34,0,0
0.3754498958587646,34,0,0
0.4407060146331787,34,0,0
0.5042080879211426,34,0,0
0.5653359889984131,34,0,0
0.6361410617828369,34,0,0
0.6923360824584961,34,0,0
0.7517569065093994,34,0,0
0.809269905090332,34,0,0
0.869783878326416,34,0,0
0.9327900409698486,34,0,0
0.9979410171508789,34,0,0
1.057445049285889,34,0,0
1.12294602394104,34,0,0
1.172868013381958,34,0,0
1.235142946243286,34,0,0
1.298933982849121,34,0,0
1.363097906112671,34,0,0
1.427084922790527,34,0,0
1.485008001327515,34,0,0
1.548294067382813,34,5.859375,0
1.607457876205444,34,18.75,0
1.674257040023804,34,22.65625,-1.171875
1.741167068481445,34,25.0,-1.3671875
1.821010112762451,34,28.90625,-3.125
1.89395809173584,34,28.90625,-3.125
1.963084936141968,34,30.46875,-4.6875
2.026272058486938,34,30.859375,-5.46875
2.096376895904541,34,31.0546875,-5.2734375
2.168965101242065,34,31.0546875,-5.2734375
2.243875980377197,34,31.0546875,-5.2734375
2.323433876037598,34,31.0546875,-1.171875
2.400964975357056,35,31.0546875,1.7578125
2.478305101394653,35,31.0546875,8.984375
2.54994797706604,35,31.0546875,15.625
2.629367113113403,35,25.0,7.8125
2.704833030700684,34,25.0,3.90625
2.785027980804443,34,22.65625,1.5625
2.852953910827637,34,22.65625,0.0
2.928817987442017,34,23.2421875,-0.390625
3.004385948181152,34,28.7109375,-0.390625
3.073915004730225,34,32.8125,-0.390625
3.152750968933105,34,32.8125,-0.390625
3.224925994873047,34,32.8125,-0.390625
3.297172069549561,34,32.8125,-0.390625
3.383586883544922,35,32.8125,-0.390625
3.463197946548462,35,32.8125,-0.390625
3.537193059921265,35,32.8125,-0.390625
3.623094081878662,35,32.8125,-0.390625
3.69582200050354,35,34.375,-0.390625
3.782408952713013,35,34.375,-0.390625
3.878206968307495,36,34.375,-0.390625
3.965519905090332,35,34.375,-0.390625
4.043620109558105,35,34.375,-0.390625
4.120418071746826,35,34.375,-0.390625
4.189253091812134,35,35.546875,-0.390625
4.268340110778809,35,36.71875,-0.390625
4.337922096252441,35,36.71875,-0.390625
4.410438060760498,35,38.8671875,-0.390625
4.490736961364746,34,38.8671875,-7.03125
4.583834886550903,34,38.8671875,-8.59375
4.668946027755737,34,38.8671875,-12.5
