Tall viser til kolonnenummer:
0=Tid, 1=Lys, 2=joyForward, 3=joySide
0,33,0,0
0.1035189628601074,33,53.125,0
0.1795949935913086,33,54.6875,0
0.2474370002746582,32,54.6875,0
0.3253099918365479,32,54.6875,-1.3671875
0.4094560146331787,32,51.5625,-1.3671875
0.4937381744384766,32,51.5625,-4.4921875
0.557405948638916,32,50.0,-8.59375
0.64451003074646,32,50.0,-12.3046875
0.7191581726074219,33,48.046875,-12.890625
0.790395975112915,33,48.6328125,-14.84375
0.8691020011901855,32,48.2421875,-19.921875
0.9391241073608398,33,49.8046875,-22.4609375
1.010411024093628,35,49.8046875,-15.4296875
1.070448160171509,37,51.5625,-10.7421875
1.141853094100952,38,53.125,-0.78125
1.205332040786743,39,53.125,-0.78125
1.293380975723267,40,54.6875,3.90625
1.367521047592163,40,54.6875,3.90625
1.428959131240845,40,46.09375,-0.5859375
1.493200063705444,40,41.40625,-2.5390625
1.562225103378296,41,41.40625,-2.9296875
1.64300012588501,41,44.53125,-1.171875
1.711424112319946,41,46.09375,-1.171875
1.786990165710449,41,47.65625,-1.171875
1.852130174636841,41,47.65625,-1.171875
1.92514705657959,40,47.65625,-12.3046875
1.999147176742554,40,51.5625,-21.09375
2.072314023971558,40,54.6875,-25.0
2.142877101898193,40,54.6875,-30.46875
2.215378999710083,40,54.6875,-30.46875
2.293555021286011,40,54.6875,-31.640625
2.36846399307251,39,54.6875,-23.2421875
2.459841966629028,41,58.59375,-8.59375
2.537314176559448,42,64.0625,-1.171875
2.606518030166626,43,68.75,3.90625
2.695137977600098,42,68.75,11.328125
2.769819974899292,41,72.65625,20.703125
2.858540058135986,40,68.75,0.0
2.93535304069519,39,66.015625,0.0
3.016586065292358,38,66.015625,3.90625
3.094146013259888,38,66.015625,0.0
3.165968179702759,38,66.015625,5.46875
3.249880075454712,40,66.015625,15.625
3.33440899848938,42,71.09375,21.875
3.414441108703613,42,72.4609375,31.25
3.495218992233276,44,72.4609375,30.859375
3.569971084594727,44,72.4609375,48.4375
3.659597158432007,45,72.4609375,48.828125
3.754917144775391,47,67.1875,51.5625
3.841744184494019,48,60.15625,53.125
3.917530059814453,49,57.421875,55.46875
3.981817960739136,49,54.6875,55.46875
4.059895038604736,48,50.390625,53.515625
4.147253036499023,49,46.09375,57.03125
4.237403154373169,47,46.09375,49.4140625
4.317207098007202,47,47.65625,16.015625
4.399569034576416,46,44.53125,6.0546875
4.492479085922241,46,42.96875,21.875
4.571144104003906,47,42.96875,15.625
4.662410974502563,48,42.96875,15.625
4.757498979568481,48,34.375,38.671875
4.838472127914429,49,32.421875,47.65625
4.927353143692017,49,32.421875,48.828125
5.005443096160889,49,32.421875,41.40625
5.111052989959717,47,35.546875,45.3125
5.201612949371338,45,35.546875,38.671875
5.291100978851318,43,30.46875,13.8671875
5.379204034805298,40,28.90625,21.875
5.454976081848145,39,28.90625,34.765625
5.541287183761597,38,32.03125,42.578125
5.622100114822388,37,32.03125,49.21875
5.714977025985718,35,32.6171875,46.2890625
5.802885055541992,33,32.6171875,43.9453125
5.897561073303223,31,35.7421875,25.78125
5.973397016525269,29,35.7421875,13.8671875
6.068533182144165,28,46.09375,15.625
6.158241033554077,27,46.09375,16.796875
6.244352102279663,27,46.09375,16.796875
6.332327127456665,26,46.09375,21.875
6.411044120788574,26,37.109375,25.78125
6.500437021255493,26,34.375,27.34375
6.591626167297363,26,34.375,22.265625
6.677073001861572,26,32.03125,27.5390625
6.770936965942383,26,32.421875,37.5
6.868901968002319,25,30.46875,29.6875
6.956887006759644,25,30.46875,23.4375
7.043622970581055,24,35.9375,37.3046875
7.128965139389038,23,37.5,31.0546875
7.21221399307251,23,37.5,39.0625
7.302154064178467,22,37.5,37.109375
7.41356897354126,22,37.5,38.671875
7.51806116104126,21,37.5,38.671875
7.607150077819824,22,37.5,38.671875
7.690974950790405,22,34.375,38.671875
7.803164005279541,23,34.375,27.34375
7.903114080429077,22,30.859375,33.0078125
8.011495113372803,23,30.859375,35.15625
8.099874019622803,23,30.859375,37.5
8.183114051818848,23,30.859375,37.5
8.26850700378418,23,30.859375,39.0625
8.350051164627075,23,30.859375,39.0625
8.43713903427124,23,30.859375,39.0625
8.523287057876587,23,30.859375,39.0625
8.615158081054688,23,34.375,34.9609375
8.706518173217773,23,35.9375,35.15625
8.805371999740601,24,37.5,37.5
8.894538164138794,23,44.53125,31.25
8.988245964050293,24,46.09375,29.6875
9.077285051345825,24,47.65625,29.6875
9.174309968948364,25,47.65625,27.34375
9.27849817276001,27,54.6875,19.53125
