Tall viser til kolonnenummer:
0=Tid, 1=Lys, 2=joyForward, 3=joySide
0,15,0,0
0.08267402648925781,15,0,-1.171875
0.1448459625244141,15,0,-1.3671875
0.2206189632415771,15,0,-1.3671875
0.2889640331268311,15,0,-1.3671875
0.3570868968963623,16,0,-1.3671875
0.4336199760437012,15,-5.078125,-0.1953125
0.500208854675293,15,-9.5703125,-0.1953125
0.5682079792022705,15,-17.1875,-0.1953125
0.6363558769226074,15,-20.703125,-0.1953125
0.7006068229675293,15,-23.4375,-0.1953125
0.7620518207550049,15,-27.34375,-0.1953125
0.8290698528289795,15,-27.34375,3.90625
0.8875508308410645,16,-20.1171875,5.46875
0.9574809074401855,16,-13.28125,0.390625
1.022955894470215,16,-12.109375,3.3203125
1.097992897033691,16,-9.375,-0.5859375
1.173498868942261,16,-5.46875,-0.5859375
1.236995935440063,16,0.390625,-2.9296875
1.29565691947937,16,3.90625,-0.78125
1.358495950698853,16,3.90625,-1.3671875
1.422591924667358,16,0.78125,-1.171875
1.494881868362427,16,0.78125,-0.5859375
1.560089826583862,16,0.78125,-0.5859375
1.62490701675415,16,0.78125,-0.5859375
1.690721035003662,16,0.78125,-0.5859375
1.766309022903442,16,0.390625,-0.5859375
1.8383469581604,16,0.390625,-0.78125
1.904786825180054,16,0.390625,-3.125
1.970911979675293,15,0.390625,-3.125
2.047508001327515,16,0.390625,-0.78125
2.121083974838257,16,0.390625,-1.171875
2.188262939453125,16,0.390625,-1.171875
2.267478942871094,16,0.390625,-1.171875
2.333513021469116,16,2.734375,-1.171875
2.407011985778809,16,10.9375,0.0
2.476272821426392,16,17.578125,0.0
2.547832012176514,16,21.875,0.0
2.619962930679321,16,24.609375,0.0
2.685614824295044,15,25.78125,0.0
2.758075952529907,15,27.34375,0.0
2.837002992630005,16,31.25,1.171875
2.908881902694702,15,28.90625,1.171875
2.975106000900269,16,28.90625,1.171875
3.04377293586731,15,30.6640625,1.5625
3.111804008483887,15,30.859375,-0.78125
3.190420866012573,15,38.28125,-0.78125
3.262310981750488,15,43.359375,-0.78125
3.333101987838745,15,45.3125,-0.78125
3.423141002655029,14,45.703125,-3.125
3.500751972198486,13,50.78125,-4.6875
3.571738004684448,13,50.78125,-8.59375
3.647886991500854,13,50.78125,-14.84375
3.726851940155029,12,50.78125,-22.65625
3.803887844085693,11,50.78125,-26.3671875
3.887049913406372,11,53.7109375,-23.046875
3.957638025283813,12,53.7109375,-19.921875
4.03795599937439,12,53.7109375,-18.75
4.122709989547729,13,53.7109375,-8.59375
4.198603868484497,13,53.7109375,-0.390625
4.271814823150635,13,45.3125,4.296875
4.358284950256348,13,42.96875,3.90625
4.422937870025635,13,42.96875,0.0
4.505647897720337,12,42.96875,0.0
4.58986496925354,13,45.1171875,5.078125
4.678534984588623,12,48.046875,5.078125
4.7586510181427,12,48.828125,0.0
4.843721866607666,13,52.34375,0.0
4.932982921600342,14,53.90625,0.0
5.01901388168335,13,53.90625,5.46875
5.10545802116394,14,51.5625,12.890625
5.18883490562439,13,41.40625,19.53125
5.269721031188965,15,32.8125,23.4375
5.341855049133301,15,27.34375,27.34375
5.419100999832153,15,25.78125,23.4375
5.503407001495361,15,25.78125,26.171875
5.590863943099976,15,28.90625,27.34375
5.667886018753052,15,30.078125,22.0703125
5.753026962280273,14,32.8125,19.7265625
5.84069299697876,14,32.8125,21.875
5.92035984992981,14,32.8125,21.484375
6.013098955154419,14,41.2109375,20.703125
6.099661827087402,14,42.96875,21.875
6.182021856307983,14,43.9453125,25.390625
6.278496026992798,14,43.5546875,25.390625
6.3836669921875,15,43.5546875,26.5625
6.475883960723877,15,33.203125,26.953125
6.571900844573975,16,31.640625,28.515625
6.653514862060547,16,31.640625,29.296875
6.738729000091553,16,31.640625,29.6875
6.844916820526123,16,31.640625,29.6875
6.927970886230469,16,28.90625,33.203125
7.016688823699951,16,31.25,32.03125
7.105469942092896,15,31.25,33.0078125
7.196141004562378,15,31.25,33.203125
7.290359973907471,16,31.25,31.25
7.383780956268311,15,31.25,32.8125
7.478335857391357,16,31.25,33.0078125
7.557104825973511,15,31.25,31.25
7.644933938980103,14,31.25,25.78125
7.728477001190186,13,31.25,25.78125
7.810333013534546,13,31.25,25.78125
7.908470869064331,13,35.9375,25.78125
8.000001907348633,11,36.328125,25.78125
8.085486888885498,11,38.28125,25.78125
8.172214031219482,11,44.7265625,23.4375
8.263433933258057,11,46.875,21.875
8.366235971450806,10,46.875,21.875
8.464337825775146,11,46.875,27.34375
8.560880899429321,12,46.875,29.6875
8.651991844177246,13,42.96875,34.765625
8.742112874984741,15,41.40625,34.765625
8.825115919113159,17,33.984375,37.5
8.926020860671997,18,27.734375,41.015625
9.022627830505371,17,26.171875,43.359375
9.131791830062866,16,25.5859375,45.3125
9.216846942901611,16,25.5859375,45.3125
9.312199831008911,15,25.5859375,45.3125
9.406118869781494,14,28.90625,39.0625
9.516093015670776,14,31.25,39.0625
9.611948013305664,14,32.8125,39.0625
9.711809873580933,14,32.8125,39.0625
9.805058002471924,15,32.8125,39.0625
9.909855842590332,15,32.8125,43.359375
10.01246500015259,15,32.8125,44.921875
10.09682583808899,15,32.8125,44.921875
10.19882297515869,15,32.8125,45.3125
10.29824900627136,15,32.8125,45.3125
10.39301300048828,16,32.8125,45.3125
10.50368690490723,16,32.8125,45.3125
10.59787201881409,16,32.8125,45.3125
10.70171594619751,18,32.8125,45.5078125
10.8057119846344,18,32.8125,46.484375
10.90706086158753,19,32.8125,47.265625
11.00593400001526,21,32.8125,47.265625
11.10984992980957,21,32.8125,47.0703125
11.19611787796021,21,32.8125,47.0703125
11.29168581962585,20,32.8125,47.0703125
11.3984169960022,20,32.8125,47.0703125
11.50489902496338,21,32.8125,45.5078125
11.61984801292419,21,32.8125,45.3125
11.72828984260559,21,32.8125,41.796875
11.81829404830933,20,35.7421875,34.9609375
11.92380595207214,20,42.96875,21.875
12.04366087913513,20,48.2421875,13.28125
12.14912891387939,20,48.2421875,13.28125
12.25619792938232,22,55.2734375,9.5703125
12.37389993667603,24,55.2734375,-0.5859375
12.49511194229126,25,55.2734375,-4.6875
12.59766793251038,25,48.828125,-12.5
12.70497393608093,25,28.90625,-25.0
12.83682584762573,24,20.3125,-32.421875
12.95555782318115,22,20.3125,-44.53125
13.07757091522217,23,20.3125,-46.875
13.20598888397217,23,25.78125,-48.4375
13.33273100852966,22,31.640625,-42.96875
13.44622993469238,22,41.40625,-42.96875
13.54506993293762,22,44.3359375,-42.96875
13.65298891067505,22,48.4375,-40.625
13.76766490936279,24,64.453125,-34.375
13.8820469379425,26,75.78125,-23.046875
13.99905896186829,29,78.90625,-0.390625
14.108314037323,34,78.90625,25.78125
14.23763489723206,38,73.4375,44.921875
14.36206102371216,36,71.875,48.828125
14.50699186325073,37,70.3125,49.21875
14.62873792648316,33,70.3125,47.65625
14.74594688415527,32,71.875,45.3125
