Tall viser til kolonnenummer:
0=Tid, 1=Lys, 2=joyForward, 3=joySide
0,34,0,0
0.08946895599365234,34,14.453125,-1.171875
0.1711499691009521,35,0.78125,-0.78125
0.264214038848877,34,-11.71875,-0.390625
0.352992057800293,35,-4.296875,-0.390625
0.4429628849029541,34,0.5859375,-0.390625
0.5223169326782227,35,0.5859375,-0.390625
0.6153519153594971,35,0.5859375,-0.390625
0.6963670253753662,34,13.28125,-0.390625
0.7853550910949707,35,26.7578125,-0.390625
0.8663060665130615,34,36.328125,-0.390625
0.9464170932769775,34,53.125,-0.390625
1.041914939880371,33,59.9609375,-0.390625
1.116450071334839,32,61.71875,-0.390625
1.20156192779541,33,61.71875,-3.125
1.273330926895142,32,57.421875,-8.59375
1.337545871734619,32,50.390625,-12.5
1.406962871551514,32,50.390625,-14.84375
1.47967791557312,33,50.390625,-12.890625
1.549122095108032,34,50.390625,-11.328125
1.619112014770508,35,50.390625,-8.59375
1.690169095993042,35,52.34375,-2.9296875
1.764381885528564,36,54.6875,-0.78125
1.847840070724487,37,54.6875,-0.78125
1.921653032302856,38,54.6875,-0.390625
1.994307041168213,38,54.6875,-0.390625
2.063064098358154,38,54.6875,-0.390625
2.137886047363281,38,54.6875,-0.390625
2.227109909057617,39,54.6875,-0.390625
2.301239967346191,39,57.2265625,-0.390625
2.379672050476074,40,58.59375,3.90625
2.452341079711914,39,58.59375,5.46875
2.53764009475708,36,58.59375,0.390625
2.626851081848145,33,58.59375,1.5625
2.710211038589478,32,58.59375,0.0
2.790456056594849,32,58.59375,-0.390625
2.877335071563721,30,58.59375,-0.390625
2.956080913543701,28,57.03125,-0.390625
3.037347078323364,27,57.03125,-0.390625
3.117645978927612,26,64.453125,-8.59375
3.197180032730103,26,68.75,-14.84375
3.280941963195801,25,71.09375,-22.65625
3.359512090682983,23,74.21875,-17.1875
3.447365999221802,22,74.21875,-15.234375
3.522849082946777,23,74.21875,-1.3671875
3.606373071670532,25,74.21875,-1.171875
3.687010049819946,26,74.21875,7.8125
3.767309904098511,25,71.484375,11.71875
3.849265098571777,27,65.625,9.9609375
3.921180009841919,27,65.625,7.421875
4.013731002807617,28,65.625,13.4765625
4.09564208984375,29,60.15625,17.1875
4.177227020263672,30,54.6875,17.1875
4.275448083877563,33,46.09375,17.3828125
4.358362913131714,34,32.03125,21.875
4.437617063522339,36,23.828125,19.53125
4.517658948898315,37,21.875,19.53125
4.598937034606934,37,21.875,25.78125
4.695941925048828,38,27.5390625,34.765625
4.783030986785889,37,30.46875,34.765625
4.857348918914795,37,30.46875,35.7421875
4.945117950439453,37,30.46875,36.9140625
5.049028873443604,36,32.03125,37.5
5.135875940322876,35,35.9375,34.9609375
5.216715097427368,35,37.890625,31.25
5.303185939788818,34,41.40625,31.25
5.396884918212891,33,41.40625,31.25
5.476089954376221,33,41.40625,31.25
5.564208030700684,32,47.265625,29.296875
5.647831916809082,32,54.6875,35.15625
5.722688913345337,32,58.59375,39.0625
5.807514905929565,33,58.59375,39.0625
5.897291898727417,33,50.0,43.359375
5.988992929458618,34,37.5,46.09375
6.079341888427734,34,34.375,47.65625
6.161496877670288,33,34.375,43.75
6.250310897827148,32,34.375,45.703125
6.337162971496582,31,34.375,43.9453125
6.435220956802368,30,37.5,41.40625
6.527225971221924,28,44.921875,41.015625
6.633800983428955,26,46.09375,39.0625
6.722044944763184,24,46.09375,39.0625
6.81303596496582,23,47.65625,43.359375
6.905925035476685,21,47.65625,41.40625
6.996944904327393,20,47.65625,39.6484375
7.085318088531494,18,47.65625,45.3125
7.18164587020874,17,48.046875,45.3125
7.268172025680542,15,48.046875,45.3125
7.358077049255371,15,48.2421875,41.40625
7.461922883987427,14,50.0,43.75
7.561083078384399,15,50.0,45.3125
7.647757053375244,16,50.0,47.0703125
7.742852926254272,18,50.0,47.265625
7.849015951156616,19,54.4921875,48.828125
7.951235055923462,21,58.59375,48.828125
8.047625064849854,23,58.59375,49.609375
8.139086008071899,26,58.59375,49.21875
8.235084056854248,28,58.59375,49.21875
8.327599048614502,31,58.59375,49.4140625
8.423227071762085,34,58.59375,51.5625
8.521583080291748,38,58.59375,55.46875
8.618436098098755,41,51.5625,57.03125
8.717344999313354,43,51.5625,53.125
8.811268091201782,45,61.328125,43.75
8.917113065719604,47,72.4609375,16.015625
9.024471044540405,49,74.21875,-0.78125
9.131088972091675,49,74.21875,-4.6875
9.237040042877197,48,74.21875,-8.59375
9.347333908081055,42,74.21875,-31.640625
9.458889961242676,36,74.21875,-28.90625
9.556793928146362,30,69.53125,-25.0
9.662961006164551,26,77.34375,-34.375
9.757052898406982,23,74.609375,-48.4375
9.873053073883057,20,88.28125,-13.671875
9.992711067199707,19,96.875,-23.828125
10.08908987045288,18,96.09375,-40.625
10.17484092712402,18,99.609375,-20.5078125
10.28757500648499,23,99.609375,12.890625
10.38694500923157,27,99.609375,10.546875
10.48999691009522,31,94.53125,20.703125
10.55169105529785,34,93.1640625,21.875
