Tall viser til kolonnenummer:
0=Tid, 1=Lys
0,33
0.04746294021606445,32
0.08099484443664551,32
0.1366229057312012,32
0.179610013961792,32
0.2287118434906006,30
0.2769768238067627,30
0.3218138217926025,29
0.3640859127044678,30
0.4172639846801758,30
0.4602298736572266,31
0.5082938671112061,32
0.556859016418457,32
0.6088929176330566,32
0.649608850479126,33
0.6935899257659912,34
0.7336690425872803,35
0.787233829498291,35
0.8249289989471436,35
0.8673639297485352,35
0.9016849994659424,36
0.9339439868927002,35
0.971268892288208,35
1.010632038116455,35
1.056200981140137,35
1.093634843826294,34
1.133213996887207,33
1.173736810684204,33
1.207913875579834,33
1.243885040283203,32
1.284981966018677,31
1.323485851287842,30
1.363493919372559,30
1.407073974609375,30
1.448030948638916,30
1.486673831939697,29
1.529050827026367,28
1.564076900482178,28
1.60134482383728,28
1.632159948348999,28
1.667062997817993,28
1.701846837997437,28
1.736737012863159,28
1.779953002929688,27
1.819124937057495,28
1.864112854003906,27
1.903843879699707,27
1.937422037124634,27
1.983417987823486,27
2.029565811157227,28
2.062948942184448,29
2.102828979492188,30
2.144618988037109,32
2.182812929153442,32
2.240980863571167,33
2.289882898330688,33
2.347076892852783,35
2.396776914596558,35
2.447456836700439,37
2.499137878417969,38
2.543572902679443,39
2.593561887741089,40
2.650775909423828,42
2.694669008255005,42
2.749689817428589,42
2.811661958694458,43
2.879946947097778,44
2.934609889984131,43
3.000295877456665,43
3.071579933166504,42
3.125073909759521,43
3.175091028213501,44
3.229642868041992,44
3.270051002502441,45
3.31672191619873,45
3.357793807983398,45
3.399330854415894,45
3.4566650390625,44
3.498757839202881,44
3.548298835754395,43
3.593714952468872,41
3.64091682434082,41
3.684085845947266,40
3.739554882049561,40
3.787439823150635,41
3.837985038757324,40
3.883909940719604,40
3.933995008468628,41
3.988303899765015,41
4.02890682220459,43
4.084926843643188,42
4.137181043624878,44
4.186663866043091,44
4.249064922332764,45
4.311863899230957,46
4.366838932037354,46
4.422250032424927,46
4.48065185546875,45
4.542143821716309,45
4.600693941116333,44
4.653941869735718,44
4.71780800819397,43
4.77830982208252,44
4.839929819107056,44
4.908818006515503,45
4.979132890701294,46
5.053359031677246,48
5.111820936203003,50
5.165076971054077,52
5.219547033309937,53
5.266928911209106,52
5.314080953598022,52
5.354758977890015,52
5.410048961639404,51
5.463970899581909,51
5.509878873825073,50
5.561766862869263,49
5.61393404006958,46
5.662609815597534,44
5.720161914825439,42
5.765138864517212,41
5.817153930664063,40
5.8716139793396,39
5.920111894607544,39
5.972267866134644,38
6.026626825332642,40
6.074293851852417,40
6.12895393371582,39
6.178998947143555,38
6.237267017364502,37
6.291380882263184,35
6.347961902618408,33
6.397377967834473,30
6.448696851730347,28
6.500313997268677,25
6.543370008468628,23
6.598050832748413,20
6.653260946273804,17
6.705736875534058,14
6.75627589225769,13
6.806577920913696,12
6.864760875701904,12
6.920615911483765,13
6.974601984024048,13
7.02344799041748,14
7.079782962799072,17
7.140137910842896,21
7.196781873703003,24
7.250284910202026,28
7.308941841125488,30
7.362042903900146,35
7.419425964355469,37
7.480269908905029,40
7.537887811660767,41
7.597056865692139,42
7.658756971359253,44
7.71088981628418,46
7.766909837722778,46
7.823230981826782,45
7.881273031234741,44
7.943403959274292,42
7.997742891311646,39
8.051765918731689,37
8.105118989944458,35
8.16206693649292,33
8.221856832504272,35
8.294144868850708,39
8.357362985610962,49
8.423549890518188,68
