Tall viser til kolonnenummer:
0=Tid, 1=Lys
0,36
0.05175900459289551,37
0.08599710464477539,36
0.1230089664459229,36
0.1538131237030029,37
0.1858699321746826,36
0.2176790237426758,36
0.2530779838562012,36
0.2842140197753906,36
0.3199341297149658,36
0.3502509593963623,37
0.3802909851074219,37
0.4108009338378906,37
0.4409689903259277,37
0.4717810153961182,37
0.5047221183776855,37
0.5347490310668945,37
0.5700600147247314,37
0.6025819778442383,37
0.6430599689483643,37
0.6797809600830078,36
0.7143049240112305,36
0.7535719871520996,36
0.7861299514770508,36
0.8199779987335205,36
0.8493161201477051,36
0.8821389675140381,36
0.917726993560791,36
0.9492030143737793,36
0.9851629734039307,36
1.022356033325195,35
1.060884952545166,36
1.099848031997681,35
1.136362075805664,36
1.171211004257202,36
1.206409931182861,36
1.241003036499023,36
1.273908138275146,36
1.310344934463501,36
1.344587087631226,36
1.381824016571045,36
1.421586990356445,36
1.457551956176758,36
1.499619960784912,35
1.542150020599365,36
1.580157995223999,36
1.614558935165405,36
1.647114992141724,36
1.685760974884033,36
1.726006984710693,36
1.760028123855591,36
1.796278953552246,36
1.831061124801636,36
1.865281105041504,36
1.907882928848267,36
1.95229697227478,35
1.987636089324951,35
2.021852970123291,35
2.055091142654419,35
2.092875957489014,35
2.133291006088257,35
2.169580936431885,35
2.211223125457764,35
2.256165981292725,36
2.299812078475952,35
2.349586009979248,36
2.394793033599854,35
2.429816007614136,36
2.472800970077515,35
2.520256996154785,36
2.557050943374634,35
2.596024036407471,37
2.632795095443726,36
2.667552947998047,36
2.707718133926392,36
2.744828939437866,37
2.782500028610229,36
2.831761121749878,37
2.873778104782104,37
2.919572114944458,36
2.959306001663208,36
2.996473073959351,36
3.044657945632935,36
3.087684154510498,36
3.133584976196289,37
3.170305967330933,37
3.210096120834351,37
3.246290922164917,37
3.284455060958862,37
3.329664945602417,37
3.370535135269165,37
3.419135093688965,37
3.45787501335144,36
3.494529962539673,36
3.53628396987915,36
3.577546119689941,36
3.622967958450317,35
3.660120964050293,35
3.69871997833252,35
3.743185043334961,35
3.78066611289978,35
3.831645011901855,36
3.873675107955933,36
3.923732042312622,35
3.96473503112793,36
4.006494998931885,36
4.050369024276733,36
4.088737010955811,35
4.140221118927002,35
4.193993091583252,35
4.240539073944092,36
4.28923511505127,35
4.335224151611328,35
4.379902124404907,35
4.417973041534424,35
4.461311101913452,35
4.506494045257568,36
4.562463045120239,36
4.610728025436401,36
4.654359102249146,36
4.700053930282593,35
4.751886129379272,36
4.80311393737793,35
4.850394010543823,35
4.900354146957397,35
4.961807012557983,36
5.005149126052856,36
5.056736946105957,37
5.111189126968384,36
5.168621063232422,37
5.219696044921875,37
5.261959075927734,37
5.320387125015259,36
5.362311124801636,36
5.419198036193848,35
5.462080955505371,35
5.503719091415405,35
5.546842098236084,35
5.596245050430298,35
5.642925024032593,35
5.687108993530273,36
5.743123054504395,36
5.792494058609009,35
5.83799409866333,36
5.882395029067993,35
5.93433403968811,36
5.983839988708496,36
6.036824941635132,37
6.084614038467407,37
6.135021924972534,37
6.176098108291626,37
6.224614143371582,37
6.267892122268677,37
6.313952922821045,37
6.360613107681274,37
6.411270141601563,37
6.452605009078979,37
6.496341943740845,37
6.545221090316772,37
6.592040061950684,38
6.64972996711731,38
6.699701070785522,38
6.75291109085083,38
6.800377130508423,37
6.848618984222412,37
6.896209001541138,37
6.962646007537842,37
7.019537925720215,36
7.067676067352295,36
7.12076997756958,35
7.170922994613647,35
7.216630935668945,35
7.270704984664917,35
7.335129976272583,34
7.39242696762085,33
7.443889141082764,33
7.488793134689331,34
7.536780118942261,33
7.581087112426758,33
7.625091075897217,33
7.675009965896606,33
7.726335048675537,34
7.783682107925415,35
7.837831974029541,35
7.886943101882935,36
7.940860033035278,35
8.00432014465332,35
8.064496994018555,35
8.114951133728027,36
8.172380924224854,36
8.222397089004517,36
8.276406049728394,36
8.32792592048645,36
8.381072998046875,36
8.437794923782349,36
8.492454051971436,37
8.553045034408569,36
8.610201120376587,35
8.667824029922485,35
8.722439050674438,35
8.782110929489136,35
8.840791940689087,36
8.892306089401245,36
8.946896076202393,36
8.999113082885742,36
9.046149969100952,36
9.10319995880127,36
9.156491041183472,37
9.220468044281006,36
9.270923137664795,36
9.336795091629028,36
9.395182132720947,35
9.445119142532349,36
9.497566938400269,35
9.550012111663818,35
9.605144023895264,35
9.656893014907837,35
9.713879108428955,35
9.773652076721191,35
9.841248035430908,35
9.893867969512939,35
9.969839096069336,35
10.030198097229,36
10.07996511459351,36
10.14210200309754,36
10.20198798179627,36
10.26223111152649,37
10.31772112846375,37
10.37415099143982,37
10.43567299842834,37
10.50040698051453,38
10.5732090473175,37
10.63755512237549,37
10.70573997497559,38
10.76415610313415,37
10.82177114486694,37
10.87723207473755,37
10.94497895240784,37
11.0032811164856,37
11.07360601425171,38
11.14046597480774,37
11.20080208778381,37
11.25664710998535,38
11.31361413002014,37
11.3756799697876,37
11.4346399307251,37
11.48726892471313,37
11.54368209838867,37
11.60034012794495,37
11.65391492843628,37
11.71522498130798,37
11.7943320274353,38
11.86066198348999,37
11.92359900474548,37
11.99524092674255,37
12.05374097824097,38
12.12196898460388,38
12.1915979385376,38
12.24563312530518,38
12.30170512199402,38
12.35639309883118,38
12.41125106811523,38
12.46386504173279,38
12.53237795829773,37
12.59602808952332,36
12.66258597373962,35
12.72625708580017,35
12.78424692153931,35
12.84328198432922,35
12.89639806747437,35
12.95376515388489,35
13.01765108108521,36
13.08595108985901,36
13.15457892417908,37
13.21479892730713,36
13.27241015434265,36
13.33293795585632,36
13.40573811531067,36
13.46465611457825,37
13.53127408027649,36
13.6028311252594,36
13.66317701339722,36
13.74592399597168,37
13.8197500705719,37
13.88676595687866,36
13.95162510871887,36
14.02391409873962,35
14.08498191833496,35
14.1679060459137,35
14.23503804206848,36
14.30523610115051,36
14.38292503356934,35
14.45208501815796,36
14.5163140296936,36
14.58521103858948,36
14.65922093391419,37
14.71678113937378,37
14.77597713470459,37
14.83979105949402,38
14.91621208190918,38
14.99963402748108,38
15.05461692810059,38
15.1143069267273,38
15.19294500350952,37
15.25125598907471,37
15.33528709411621,36
15.40275502204895,36
15.47423601150513,35
15.5342071056366,35
15.59499096870423,35
15.65641808509827,35
15.71579194068909,35
15.78296494483948,35
15.84601593017578,35
15.91667294502258,36
15.98731398582458,37
16.05796504020691,38
16.12193703651428,38
16.20374703407288,39
16.26978302001953,40
16.33084511756897,40
16.39636993408203,40
16.4618411064148,40
16.52032113075256,40
16.6070020198822,39
16.66787314414978,39
16.72922396659851,39
16.81310200691223,38
16.87722992897034,38
16.96236705780029,37
17.0258059501648,37
17.0849940776825,37
17.15971398353577,36
17.2267210483551,36
17.29777812957764,35
17.36307311058044,35
17.4323890209198,35
17.5116069316864,35
17.59177613258362,34
17.66904306411743,34
17.75653910636902,34
17.83384704589844,34
17.91780114173889,34
17.99600911140442,35
18.07671594619751,35
18.15795493125916,35
18.22272706031799,35
18.28375101089478,35
18.37185692787171,36
18.47362303733826,36
18.60593509674072,37
18.71482992172241,37
18.80230498313904,37
18.89067697525024,37
18.98968100547791,37
19.08201003074646,36
19.17128109931946,36
19.25731205940247,36
19.3424551486969,35
19.41909193992615,35
19.49000215530396,35
19.56671309471131,35
19.65182113647461,35
19.72490501403809,35
19.79756999015808,35
19.8620810508728,35
19.92680311203003,35
20.00482296943665,35
20.07188200950623,35
20.14289999008179,35
20.21966099739075,35
20.30017900466919,36
20.38425803184509,36
20.4512209892273,36
20.53662610054016,37
20.62380695343017,37
20.69286394119263,37
20.76184391975403,37
20.83928894996643,37
20.92194414138794,37
21.0102961063385,37
21.07581400871277,37
21.14677906036377,37
21.21400713920593,37
21.27992200851441,37
21.35176205635071,37
21.43970203399658,36
21.5210931301117,35
21.6046929359436,35
21.67772006988526,35
21.75651001930237,35
21.83910799026489,35
21.92241096496582,35
22.01688504219055,35
22.09707093238831,36
22.20067501068115,36
22.29721593856812,36
22.41284608840942,36
22.53059697151184,37
22.62392807006836,37
22.72415900230408,37
22.83465909957886,35
22.94185304641724,35
23.02639198303223,35
23.11065006256104,35
23.21639013290405,34
23.31377696990967,35
23.40367913246155,35
23.48667097091675,35
23.56106996536255,35
23.6366651058197,35
23.72382092475891,35
23.8130419254303,37
23.89920115470886,38
23.9776029586792,38
24.0600061416626,39
24.1329870223999,40
24.23094701766968,40
24.33202195167542,39
24.42595195770264,38
24.51623892784119,38
24.60598301887512,37
24.71312308311463,38
24.83415913581848,38
24.91241502761841,38
24.98775100708008,38
25.06988501548767,38
25.14106512069702,38
25.21763610839844,38
25.29266500473023,37
25.37040710449219,38
25.44700813293457,37
25.52056908607483,38
25.59633898735047,38
25.67194414138794,38
25.74086213111878,38
25.82040715217591,38
25.8925940990448,38
25.96418809890747,38
26.04083395004273,38
26.13682913780213,37
26.26006007194519,38
26.37082409858704,37
26.47450613975525,37
26.59169793128967,35
26.69509696960449,34
26.81650996208191,33
26.9467830657959,32
27.03867292404175,32
27.11687803268433,32
27.20229291915894,32
27.28076910972595,32
27.36520004272461,32
27.44994306564331,33
27.53867912292481,34
27.63052606582642,35
27.70483708381653,35
27.80250000953675,36
27.89784693717957,36
27.98607206344605,36
28.06791615486145,36
28.15187096595764,35
28.25387096405029,35
28.33276510238647,35
28.43008613586426,34
28.51753902435303,34
28.63240814208984,33
28.72286605834961,33
28.8238639831543,34
28.91916203498841,34
29.01214098930359,35
29.09459614753723,35
29.19381403923035,36
29.28227615356445,36
29.36393594741821,36
29.46196603775025,35
29.54452395439148,35
29.62581300735474,35
29.70783400535584,35
29.78792500495911,35
29.90685796737671,34
29.99753904342652,34
30.10357904434204,33
30.21756792068482,33
30.30092406272888,33
30.38644599914551,33
30.47226405143738,33
30.55071592330933,33
30.63455295562744,33
30.71226215362549,33
30.78655695915222,33
30.86232995986939,33
30.95099210739136,33
31.05195307731629,34
31.14180493354798,34
31.23857998847962,34
31.33731293678284,34
31.47024202346802,34
31.57231593132019,34
31.6602840423584,34
31.76298499107361,34
31.8708119392395,34
31.97048711776734,34
32.06290411949158,35
32.16065096855164,35
32.2817771434784,36
32.38786005973816,37
32.48680901527405,37
32.62428712844849,38
32.74660992622376,38
32.88643312454224,39
33.01613092422485,40
33.11474013328553,39
33.24305510520935,38
33.329185962677,37
33.43502902984619,36
33.53786301612854,35
33.63360500335693,35
33.71295595169068,35
33.79470014572144,35
33.8912889957428,35
33.98283410072327,36
34.08525609970093,37
34.17622709274292,38
34.28792309761048,38
34.37203001976013,38
34.46057200431824,38
34.56238698959351,37
34.65278196334839,36
34.75433707237244,36
34.85766911506653,35
34.94462203979492,35
35.04592299461365,35
35.15527105331421,36
35.25305008888245,36
35.35477900505066,37
35.44579195976258,37
35.54095005989075,38
35.64953899383545,37
35.74096202850342,37
35.83786296844483,37
35.93389010429382,37
36.04981112480164,37
36.16495108604431,37
36.28195810317993,37
36.37188911437988,37
36.47270607948303,36
36.57323813438416,36
36.68416404724121,36
36.78319001197815,37
36.87184596061707,37
36.95858597755432,37
37.06108903884888,38
37.15665006637574,37
37.25217008590699,37
37.35314798355103,38
37.4431221485138,38
37.53696799278259,38
37.63049197196961,38
37.71567606925965,38
37.81176614761353,37
37.91772413253784,36
38.01585793495178,35
38.12023901939392,34
38.22008109092712,34
38.33267211914063,34
38.44425511360169,35
38.54299998283386,36
38.64218807220459,37
38.74783706665039,38
38.83603000640869,38
38.92922115325928,38
39.02376198768616,37
39.11474895477295,37
39.24678111076355,36
