Tall viser til kolonnenummer:
0=Tid, 1=Lys
0,28
0.03991389274597168,28
0.07713985443115234,28
0.1084239482879639,28
0.1482908725738525,29
0.1839118003845215,29
0.2162258625030518,29
0.2535579204559326,29
0.2864248752593994,28
0.3280189037322998,29
0.3636820316314697,28
0.3932669162750244,28
0.4243090152740479,28
0.4575378894805908,28
0.4940879344940186,28
0.5222098827362061,28
0.5517158508300781,28
0.5840888023376465,28
0.6124269962310791,28
0.6408898830413818,28
0.667590856552124,28
0.7038660049438477,28
0.7385859489440918,28
0.7716469764709473,28
0.8038179874420166,28
0.8339488506317139,28
0.872298002243042,28
0.9037988185882568,28
0.937532901763916,28
0.9715378284454346,28
1.002792835235596,28
1.051219940185547,28
1.090425968170166,28
1.142759799957275,27
1.179790019989014,28
1.216130971908569,28
1.249751806259155,28
1.284304857254028,28
1.315644025802612,28
1.348138809204102,27
1.384168863296509,28
1.420203924179077,27
1.453665018081665,28
1.49039101600647,28
1.540377855300903,27
1.585009813308716,27
1.622031927108765,27
1.654246807098389,27
1.686790943145752,27
1.718125820159912,27
1.751166820526123,27
1.787662029266357,27
1.827781915664673,28
1.867897033691406,27
1.910218954086304,28
1.945472002029419,28
1.982349872589111,28
2.017113924026489,28
2.051944971084595,28
2.084487915039063,28
2.121094942092896,28
2.152209997177124,28
2.185209035873413,28
2.221726894378662,28
2.253928899765015,28
2.301988840103149,29
2.354214906692505,29
2.394495010375977,29
2.437111854553223,29
2.472836017608643,29
2.511509895324707,30
2.554569005966187,29
2.600365877151489,29
2.644273996353149,29
2.683745861053467,29
2.730280876159668,29
2.770357847213745,29
2.808243989944458,29
2.846226930618286,29
2.882301807403564,29
2.933698892593384,28
2.972321033477783,28
3.012383937835693,28
3.052207946777344,28
3.092298984527588,28
3.137666940689087,28
3.17172384262085,28
3.211952924728394,28
3.246533870697021,28
3.286607027053833,28
3.322032928466797,28
3.35712194442749,28
3.39788293838501,28
3.435484886169434,28
3.476833820343018,28
3.533723831176758,27
3.581657886505127,28
3.631734848022461,27
3.675925016403198,27
3.7132248878479,27
3.751997947692871,27
3.789958953857422,27
3.829654932022095,27
3.86828088760376,27
3.912559032440186,27
3.960078954696655,27
3.998164892196655,27
4.042673826217651,27
4.083694934844971,27
4.131551027297974,27
4.181746006011963,28
4.230470895767212,27
4.277050018310547,28
4.330253839492798,28
4.374814033508301,28
4.41772985458374,28
4.463763952255249,28
4.509665012359619,28
4.562592029571533,27
4.609659910202026,27
4.663718938827515,27
4.717933893203735,27
4.777017831802368,27
4.820125818252563,28
4.862037897109985,28
4.904232025146484,28
4.942535877227783,28
4.987907886505127,28
5.032964944839478,28
5.084779024124146,28
5.139982938766479,28
5.192106008529663,28
5.235527992248535,28
5.282451868057251,28
5.325834035873413,28
5.365233898162842,28
5.410215854644775,28
5.453044891357422,28
5.508236885070801,28
5.557529926300049,28
5.60703182220459,28
5.648164987564087,28
5.689023971557617,28
5.73232889175415,28
5.771957874298096,28
5.812886953353882,28
5.852718830108643,28
5.894205808639526,28
5.943562984466553,28
5.986334800720215,28
6.030324935913086,28
6.082659959793091,28
6.140288829803467,28
6.188560009002686,29
6.243840932846069,28
6.294909954071045,28
6.354656934738159,29
6.400059938430786,29
6.451661825180054,28
6.497207880020142,28
6.540367841720581,28
6.594338893890381,28
6.651702880859375,27
6.69835090637207,27
6.751152992248535,27
6.796157836914063,27
6.84223198890686,27
6.889922857284546,27
6.934583902359009,27
6.982765913009644,27
7.0348060131073,27
7.094264030456543,27
7.15567684173584,27
7.207804918289185,27
7.250185012817383,27
7.297062873840332,27
7.341782808303833,27
7.39519190788269,27
7.448482990264893,27
7.518543004989624,27
7.576419830322266,28
7.623690843582153,28
7.668144941329956,28
7.715188980102539,28
7.768502950668335,28
7.825697898864746,28
7.894315004348755,27
7.957609891891479,27
8.011492967605591,27
8.059785842895508,27
8.114388942718506,27
8.172518968582153,28
8.226787805557251,28
8.273675918579102,28
8.339684963226318,28
8.388248920440674,28
8.448529005050659,28
8.510362863540649,28
8.573064804077148,28
8.624486923217773,28
8.67668080329895,28
8.741078853607178,28
8.794780969619751,28
8.845118999481201,28
8.893237829208374,28
8.941062927246094,28
8.991094827651978,28
9.039652824401855,28
9.089751958847046,28
9.144302845001221,28
9.194585800170898,28
9.242673873901367,28
9.293229818344116,28
9.340384960174561,28
9.393113851547241,28
9.441644906997681,28
9.495174884796143,28
9.564038991928101,28
9.621603965759277,28
9.675997018814087,28
9.72295880317688,28
9.773041009902954,28
9.822912931442261,28
9.885694026947021,29
9.948172807693481,29
10.01575589179993,29
10.08112001419067,30
10.14609479904175,29
10.20673799514771,30
10.26663184165955,30
10.3366289138794,30
10.41321086883545,29
10.48434686660767,30
10.54964685440064,29
10.60589694976807,29
10.66278386116028,28
10.73653697967529,28
10.79854393005371,28
10.86771082878113,29
10.93247580528259,29
10.98851299285889,29
11.0467209815979,29
11.10665988922119,29
11.17616486549377,29
11.24264097213745,29
11.31092500686645,30
11.36714482307434,30
11.42085599899292,30
11.4957549571991,31
11.56313300132751,31
11.61584091186523,31
11.67499184608459,31
11.73163199424744,31
11.80114388465881,30
11.85647892951965,30
11.91323685646057,29
12.00008392333984,29
12.07124280929565,29
12.140291929245,28
12.2024610042572,28
12.2546558380127,28
12.31804990768433,27
12.39026689529419,27
12.45413589477539,27
12.51562786102295,27
12.57211995124817,27
12.63414287567139,27
12.70829486846924,27
12.78900980949402,28
12.85293102264404,28
12.90504002571106,28
12.96030688285828,28
13.01726484298706,28
13.08120584487915,28
13.14291381835938,28
13.20260500907898,28
13.25995683670044,28
13.31426191329956,28
13.37503099441528,28
13.43002390861511,28
13.49014902114868,28
13.56789398193359,28
13.63582682609558,28
13.70512080192566,28
13.76433181762695,28
13.82468986511231,28
13.89833688735962,29
13.97702789306641,29
14.04115390777588,29
14.10700297355652,29
14.17571401596069,29
14.24428081512451,29
14.32446789741516,30
14.41472387313843,29
14.48624587059021,28
14.5657799243927,28
14.63720893859863,28
14.70803380012512,28
14.79997682571411,28
14.87577295303345,29
14.94445180892944,29
15.01211500167847,29
15.0877959728241,30
15.17760801315308,30
15.26012396812439,29
15.33426380157471,30
15.40428590774536,29
15.4875648021698,29
15.56399202346802,30
15.65009999275208,30
15.73107981681824,30
15.80479502677917,28
15.87965893745422,29
15.97273087501526,28
16.03444290161133,28
16.12237691879272,28
16.20623397827148,27
16.28404402732849,26
16.36709880828858,27
16.4365828037262,28
16.51111602783203,28
16.59207797050476,27
16.66986393928528,28
16.75799202919007,28
16.83786988258362,28
16.9154679775238,27
16.99156498908997,28
17.07166981697083,27
17.15473580360413,28
17.23621988296509,27
17.31813883781433,28
17.4020459651947,28
17.4763708114624,28
17.56571197509766,29
17.65363502502441,29
17.73516082763672,30
17.81786894798279,29
17.90211296081543,29
17.99254703521729,28
18.07195782661438,28
18.14649701118469,28
18.23031902313232,28
18.31229782104492,27
18.40782380104065,27
18.48440289497375,27
18.56970381736756,27
18.65481686592102,26
18.74283194541931,25
18.83762192726135,26
18.92268800735474,26
