Tallformatet viser til kolonnenummer:
0=JoyForward, 1=PowerA, 
2=PowerB 
25.0,12.63671875,12.36328125
25.0,12.294921875,12.705078125
26.5625,13.076171875,13.486328125
28.90625,14.248046875,14.658203125
30.2734375,13.49609375,16.77734375
34.375,15.546875,18.828125
34.765625,17.109375,17.65625
36.71875,18.0859375,18.6328125
39.453125,19.453125,20.0
40.625,20.0390625,20.5859375
40.625,20.0390625,20.5859375
40.625,20.17578125,20.44921875
34.9609375,17.34375,17.6171875
34.9609375,17.34375,17.6171875
