Tall viser til kolonnenummer:
0=Tid, 1=Avstand
0,122
0.04227495193481445,122
0.06998205184936523,122
0.0991971492767334,121
0.1325900554656982,121
0.1590549945831299,121
0.1851871013641357,121
0.2121620178222656,121
0.2418060302734375,121
0.2669920921325684,121
0.2944660186767578,121
0.320112943649292,122
0.3560011386871338,122
0.3820090293884277,121
0.4124629497528076,121
0.4425849914550781,121
0.470102071762085,121
0.5006401538848877,121
0.5325500965118408,121
0.561284065246582,121
0.5912480354309082,121
0.6192340850830078,121
0.651414155960083,121
0.6794209480285645,121
0.709165096282959,121
0.7453250885009766,121
0.7738780975341797,121
0.8027231693267822,121
0.8344650268554688,121
0.8650200366973877,121
0.8924009799957275,121
0.9312050342559814,121
0.9697780609130859,121
1.00455904006958,121
1.033103942871094,121
1.063794136047363,121
1.092544078826904,121
1.122684955596924,121
1.15496301651001,121
1.184872150421143,121
1.21530294418335,121
1.245941162109375,121
1.279329061508179,121
1.314667940139771,121
1.345294952392578,121
1.377372026443481,121
1.410109043121338,121
1.441518068313599,121
1.474939107894897,121
1.505077123641968,121
1.54120397567749,121
1.575895071029663,121
1.606611013412476,126
1.639995098114014,128
1.674018144607544,130
1.70618200302124,130
1.746623992919922,135
1.781239986419678,135
1.812610149383545,139
1.846946954727173,135
1.881884098052979,135
1.914528131484985,130
1.948328018188477,130
1.984352111816406,126
2.015516042709351,126
2.053992033004761,126
2.088098049163818,126
2.125939130783081,126
2.159904956817627,128
2.197489976882935,130
2.233206987380981,130
2.2654709815979,138
2.30318808555603,143
2.351397037506104,138
2.393787145614624,145
2.429358959197998,139
2.465474128723145,138
2.502508163452148,135
2.545798063278198,131
2.579097032546997,128
2.615508079528809,121
2.653152942657471,121
2.687073945999146,122
2.722460031509399,120
2.759466171264648,120
2.795307159423828,118
2.833323955535889,118
2.867929935455322,114
2.906105041503906,109
2.948410987854004,103
2.983325958251953,103
3.020033121109009,99
3.058098077774048,95
3.094440937042236,86
3.133095026016235,93
3.171205997467041,95
3.21117115020752,94
3.250561952590942,101
3.287080049514771,103
3.328796148300171,107
3.367990016937256,107
3.405323028564453,107
3.442466974258423,103
3.481068134307861,103
3.520015001296997,99
3.560054063796997,93
3.598123073577881,95
3.638746023178101,95
3.677128076553345,93
3.722524166107178,101
3.768200159072876,103
3.80689811706543,109
3.847200155258179,109
3.886892080307007,107
3.928277015686035,103
3.971282005310059,99
4.011182069778442,95
4.055219173431396,93
4.093217134475708,93
4.143208980560303,101
4.183472156524658,103
4.224823951721191,112
4.266088008880615,118
4.304852962493896,121
4.347903966903687,121
4.387115001678467,121
4.429973125457764,122
4.468408107757568,120
4.507394075393677,121
4.571177005767822,135
4.612276077270508,143
4.654888153076172,154
4.696015119552612,157
4.744400978088379,162
4.784466028213501,157
4.824028015136719,156
4.868189096450806,147
4.910022974014282,139
4.962476968765259,120
5.003977060317993,113
5.047014951705933,114
5.088583946228027,113
5.131838083267212,120
5.175923109054565,126
5.217479944229126,130
5.264155149459839,135
5.306211948394775,143
5.361870050430298,143
5.406497001647949,143
5.451842069625854,138
5.493873119354248,139
5.53702712059021,130
5.586091041564941,121
5.629174947738647,122
5.672693967819214,122
5.716012954711914,122
5.766438961029053,122
5.811392068862915,122
5.856523036956787,122
5.897931098937988,122
5.943341970443726,122
5.986353158950806,122
6.028546094894409,121
6.075278997421265,121
6.117922067642212,126
6.170691967010498,131
6.216004133224487,139
6.263139963150024,143
6.306514024734497,149
6.356637001037598,157
6.407128095626831,166
6.454264163970947,183
6.499359130859375,189
6.558071136474609,189
6.605898141860962,190
6.651833057403564,195
6.697921991348267,190
6.74620509147644,191
6.792003154754639,191
6.838035106658936,184
6.88604998588562,179
6.932453155517578,166
6.9948410987854,147
7.041957139968872,121
7.089260101318359,103
7.140076160430908,72
7.194139003753662,57
7.241089105606079,46
7.291775941848755,46
7.341958999633789,57
7.412214994430542,86
7.463821172714233,103
7.51511812210083,120
7.564274072647095,138
7.61275315284729,145
7.663361072540283,138
7.713139057159424,139
7.773087978363037,130
7.828389167785645,118
7.875235080718994,109
7.923956155776978,101
7.976287126541138,95
8.027990102767944,95
8.076796054840088,93
8.124671936035156,94
8.179177045822144,103
8.229982137680054,112
8.279083967208862,118
8.328143119812012,120
8.378093957901001,122
8.427238941192627,122
8.478317022323608,122
8.527958154678345,120
8.594077110290527,113
8.647138118743896,114
8.696290016174316,114
8.749918937683105,114
8.798594951629639,114
8.852651119232178,114
8.903486967086792,114
8.958383083343506,114
9.009814023971558,109
9.069260120391846,103
9.118630170822144,95
9.172408103942871,84
9.225104093551636,67
9.277927160263062,65
9.331961154937744,63
9.398077964782715,72
9.452996969223022,74
9.535922050476074,84
9.614626169204712,86
9.685791015625,101
9.761274099349976,114
9.845239162445068,138
9.908833980560303,157
9.976320028305054,174
10.03947496414185,179
10.10451912879944,170
10.17344117164612,162
10.23747396469116,147
10.28945398330688,137
10.3486909866333,114
10.407958984375,101
10.46707105636597,99
10.5211181640625,101
10.57804894447327,107
10.63420605659485,113
10.68857312202454,130
10.74248099327088,137
10.79713416099548,143
10.85009813308716,145
10.90523505210877,138
10.9595160484314,137
11.03002500534058,130
11.08644795417786,120
11.14398097991943,120
11.21686506271362,114
11.27201795578003,114
11.32847094535828,114
11.38991713523865,118
11.45393204689026,126
11.50747799873352,128
11.56746506690979,130
11.62445497512817,135
11.67995715141297,139
11.73690915107727,149
11.79742407798767,164
11.85615801811218,184
11.90934801101685,199
11.97257494926453,204
12.03442215919495,221
12.09309697151184,229
12.1521110534668,233
12.21529197692871,236
12.27547717094422,239
12.33521914482117,229
12.40462303161621,211
12.46594715118408,190
12.52313208580017,175
12.58747315406799,138
12.6479811668396,107
12.70519495010376,77
12.76933002471924,57
12.82860994338989,40
12.89178609848022,38
12.95007610321045,44
13.0273540019989,63
13.0859169960022,77
13.14713215827942,101
13.2070779800415,112
13.26501607894897,120
13.32483696937561,120
