Tall viser til kolonnenummer:
0=Tid, 1=Avstand
0,135
0.03454399108886719,135
0.06436896324157715,135
0.09149599075317383,139
0.1213929653167725,139
0.150101900100708,139
0.1774179935455322,139
0.2033040523529053,135
0.23136305809021,139
0.2591249942779541,139
0.2851698398590088,139
0.3135340213775635,139
0.3429989814758301,135
0.3732378482818604,139
0.4045350551605225,139
0.4343008995056152,139
0.4629919528961182,139
0.4913370609283447,139
0.5201990604400635,139
0.5494759082794189,139
0.5784368515014648,139
0.6078379154205322,139
0.6362979412078857,139
0.6651120185852051,139
0.6951949596405029,139
0.7317378520965576,138
0.7613470554351807,138
0.8016059398651123,138
0.8357348442077637,138
0.8675909042358398,138
0.8989460468292236,138
0.9282479286193848,138
0.9600708484649658,138
0.9915628433227539,138
1.022178888320923,138
1.053153991699219,138
1.084326028823853,138
1.116355895996094,138
1.147125005722046,138
1.18324089050293,138
1.213696956634521,138
1.243834018707275,138
1.278929948806763,138
1.308539867401123,138
1.339831829071045,138
1.373208999633789,138
1.404371976852417,138
1.4372239112854,138
1.470444917678833,138
1.502075910568237,138
1.539669036865234,138
1.582092046737671,138
1.613190889358521,138
1.64485502243042,138
1.678232908248901,138
1.710965871810913,138
1.743346929550171,138
1.777195930480957,143
1.809634923934937,143
1.843024969100952,143
1.876574993133545,143
1.910553932189941,145
1.942507982254028,145
1.982168912887573,144
2.016125917434692,143
2.053232908248901,143
2.089823961257935,143
2.121575832366943,143
2.156292915344238,145
2.190902948379517,145
2.223451852798462,147
2.257333993911743,147
2.294287919998169,149
2.333092927932739,149
2.367583036422729,154
2.411382913589478,156
2.446503877639771,158
2.481459856033325,158
2.517781019210815,157
2.554600954055786,157
2.592260837554932,157
2.627405881881714,157
2.663298845291138,157
2.70057487487793,157
2.737488985061646,157
2.774930953979492,162
2.821481943130493,166
2.859273910522461,166
2.896162033081055,170
2.933677911758423,173
2.971106052398682,170
3.007623910903931,170
3.047062873840332,170
3.08355188369751,170
3.124287843704224,173
3.163605928421021,172
3.213667869567871,175
3.255653858184814,175
3.292153835296631,175
3.329722881317139,173
3.367748975753784,175
3.406324863433838,175
3.444299936294556,175
3.483345031738281,174
3.52892804145813,179
3.569038867950439,181
3.613695859909058,183
3.656383037567139,183
3.695034027099609,183
3.735146045684814,183
3.776321887969971,183
3.814475059509277,183
3.855111837387085,181
3.896308898925781,179
3.940876960754395,174
3.983720064163208,174
4.026283025741577,175
4.067636966705322,175
4.107424974441528,175
4.148241996765137,175
4.190322875976563,174
4.229692935943604,179
4.270485877990723,181
4.309568881988525,181
4.349586009979248,185
4.396169900894165,185
4.436241865158081,185
4.478984832763672,184
4.51885199546814,189
4.565079927444458,189
4.60768985748291,189
4.649740934371948,189
4.691635847091675,184
4.733130931854248,184
4.779685974121094,184
4.826259851455688,189
4.864353895187378,189
4.918586015701294,189
4.959082841873169,189
5.003150939941406,189
5.043045043945313,189
5.08419394493103,189
5.123435020446777,189
5.163602828979492,189
5.212211847305298,189
5.252233028411865,189
5.295675992965698,189
5.337036848068237,189
5.377116918563843,189
5.420362949371338,189
5.461627006530762,189
5.507562875747681,189
5.55506706237793,189
5.60768985748291,189
5.652217864990234,189
5.697620868682861,184
5.742548942565918,184
5.784136056900024,184
5.830080032348633,189
5.875092029571533,189
5.921170949935913,189
5.965005874633789,189
6.01639199256897,189
6.060338020324707,189
6.105655908584595,189
6.150995969772339,184
6.196320056915283,185
6.24225902557373,185
6.288625955581665,183
6.33899998664856,183
6.384915828704834,185
6.441547870635986,185
6.487874031066895,183
6.533098936080933,183
6.590414047241211,183
6.634440898895264,184
6.68306303024292,189
6.727417945861816,189
6.77371883392334,189
6.826125860214233,189
6.872293949127197,189
6.917569875717163,189
6.963693857192993,189
7.00832200050354,189
7.053339958190918,189
7.102102041244507,189
7.153970956802368,189
7.206238031387329,189
7.252559900283813,191
7.304589033126831,190
7.353119850158691,190
7.404315948486328,190
7.45322585105896,198
7.503666877746582,203
7.552329063415527,203
7.612380981445313,197
7.666328907012939,199
7.713726043701172,191
7.762326002120972,191
7.809735059738159,191
7.855191946029663,191
7.904918909072876,191
7.956263065338135,191
8.013996839523315,191
8.061455965042114,191
8.111549854278564,191
8.159553050994873,191
8.210391998291016,191
8.259603977203369,191
8.309932947158813,191
8.357507944107056,191
8.414556980133057,191
8.462380886077881,191
8.518265962600708,189
8.56955099105835,184
8.622336864471436,184
8.675030946731567,185
8.728209018707275,189
8.784276962280273,181
8.84980297088623,179
8.901141881942749,174
8.952266931533813,179
9.004992961883545,183
9.057042837142944,181
9.110179901123047,170
9.160394906997681,166
9.217825889587402,156
9.269106864929199,147
9.322099924087524,138
9.375128030776978,137
9.428192853927612,137
9.481066942214966,139
9.537819862365723,143
9.596449851989746,143
9.653388977050781,138
9.709187984466553,139
9.759876012802124,137
9.820158958435059,137
9.871537923812866,137
9.934610843658447,137
9.990157842636108,135
10.05691504478455,135
10.10907697677612,130
10.16047286987305,135
10.21656799316406,135
10.26912784576416,130
10.32329392433166,130
10.3796808719635,130
10.44210886955261,130
10.49700593948364,130
10.5537428855896,130
10.60758304595947,130
10.66300582885742,130
10.71633386611939,126
10.77220392227173,121
10.83223104476929,128
10.88779306411743,122
10.95374584197998,128
11.01232004165649,128
11.0713369846344,128
11.12522602081299,128
11.1915328502655,121
11.25221586227417,128
11.31057000160217,128
11.36757588386536,121
11.42625999450684,128
11.4823489189148,121
11.54253602027893,128
11.60104203224182,126
11.66230487823486,128
11.72017288208008,128
11.77705502510071,128
11.83632493019104,121
11.893718957901,128
11.95361804962158,122
12.02430987358093,122
12.08572292327881,122
12.14394593238831,128
12.20353698730469,128
12.26296806335449,122
12.3219678401947,122
