Tall viser til kolonnenummer:
0=Tid, 1=Avstand
0,166
0.03741908073425293,166
0.06473708152770996,166
0.0912930965423584,173
0.1201090812683105,173
0.1502599716186523,177
0.180840015411377,174
0.2102091312408447,175
0.2394740581512451,170
0.2651810646057129,170
0.2927601337432861,166
0.3212471008300781,162
0.3505661487579346,166
0.3758890628814697,166
0.4046051502227783,162
0.4331409931182861,157
0.4619770050048828,164
0.4912071228027344,164
0.519801139831543,166
0.5504801273345947,162
0.5833840370178223,162
0.6114101409912109,162
0.6423461437225342,156
0.6701200008392334,156
0.6985290050506592,156
0.7329061031341553,156
0.7645831108093262,154
0.7919631004333496,154
0.8219389915466309,154
0.8546020984649658,154
0.8826730251312256,154
0.9138309955596924,154
0.9433901309967041,156
0.9820230007171631,156
1.012864112854004,156
1.043485164642334,158
1.076115131378174,154
1.106625080108643,154
1.136991024017334,149
1.17202615737915,149
1.200598001480103,149
1.232921123504639,149
1.265994071960449,149
1.296274185180664,149
1.326579093933105,149
1.361158132553101,149
1.397902965545654,149
1.431063175201416,149
1.464482069015503,149
1.495073080062866,149
1.531188011169434,149
1.567032098770142,149
1.599815130233765,158
1.631992101669312,158
1.664292097091675,157
1.696946144104004,157
1.730309009552002,157
1.763353109359741,162
1.801429033279419,162
1.834098100662231,164
1.867053985595703,164
1.9029381275177,166
1.935944080352783,166
1.970144987106323,175
2.008058071136475,166
2.044939041137695,181
2.078612089157104,181
2.110167026519775,181
2.143385171890259,2550
2.183897018432617,2550
2.225403070449829,2550
2.259926080703735,2550
2.296188116073608,2550
2.333311080932617,2550
2.366327047348022,2550
2.403053045272827,2550
2.436102151870728,2550
2.471266984939575,2550
2.506074190139771,2550
2.541893005371094,2550
2.574047088623047,2550
2.624536991119385,2550
2.660200119018555,2550
2.698026180267334,2550
2.732992172241211,2550
2.766440153121948,2550
2.80463719367981,2550
2.840520143508911,2550
2.875342130661011,2550
2.911990165710449,2550
2.949267148971558,2550
2.985489130020142,2550
3.025140047073364,2550
3.062057018280029,2550
3.098510026931763,2550
3.136001110076904,2550
3.174058198928833,2550
3.214905977249146,2550
3.251893997192383,2550
3.286102056503296,2550
3.323952198028564,2550
3.361047983169556,2550
3.404987096786499,2550
3.444408178329468,2550
3.480009078979492,2550
3.519137144088745,2550
3.556981086730957,2550
3.593311071395874,2550
3.631309986114502,2550
