Tall viser til kolonnenummer:
0=Tid, 1=Avstand
0,158
0.0388188362121582,162
0.06671595573425293,162
0.09454488754272461,164
0.124194860458374,166
0.1522979736328125,166
0.1833739280700684,170
0.2107009887695313,172
0.2385518550872803,175
0.2652218341827393,175
0.2922849655151367,175
0.3196868896484375,175
0.3499019145965576,175
0.3758790493011475,175
0.4067599773406982,175
0.4365549087524414,173
0.464810848236084,173
0.4947340488433838,173
0.5247969627380371,170
0.5566928386688232,170
0.5917599201202393,170
0.6198270320892334,170
0.6512069702148438,170
0.6799218654632568,170
0.7111549377441406,170
0.7461948394775391,170
0.7754809856414795,170
0.8091409206390381,173
0.8363528251647949,173
0.869420051574707,173
0.900054931640625,170
0.9307498931884766,170
0.9622888565063477,166
1.001982927322388,164
1.032569885253906,162
1.064003944396973,162
1.093976974487305,162
1.125555038452148,162
1.157992839813232,162
1.188796043395996,162
1.220679998397827,162
1.253577947616577,164
1.283645868301392,164
1.315948009490967,166
1.345952033996582,166
1.383424043655396,166
1.41614294052124,170
1.447906017303467,170
1.481242895126343,170
1.513486862182617,166
1.547363996505737,166
1.582334995269775,162
1.614330053329468,157
1.64531683921814,158
1.692643880844116,157
1.726526975631714,157
1.762553930282593,164
1.798799991607666,166
1.833809852600098,166
1.868612051010132,166
1.899693012237549,166
1.934454917907715,157
1.96868896484375,164
2.0032799243927,164
2.037322044372559,162
2.076113939285278,157
2.110764980316162,157
2.142536878585815,157
2.183621883392334,156
2.21715784072876,157
2.252737045288086,162
2.290309906005859,164
2.32483983039856,166
2.360715866088867,166
2.398512840270996,164
2.433132886886597,164
2.465797901153564,164
2.502094030380249,162
2.538849830627441,157
2.57240891456604,158
2.614292860031128,149
2.649562835693359,149
2.684576034545898,154
2.719296932220459,154
2.760830879211426,156
2.798570871353149,156
2.83608603477478,158
2.871247053146362,162
2.910059928894043,164
2.944746971130371,166
2.986043930053711,166
3.026120901107788,166
3.06363582611084,170
3.101091861724854,170
3.144623994827271,166
3.180799007415771,166
3.222117900848389,166
3.259866952896118,166
3.29595685005188,166
3.333390951156616,164
3.371490955352783,162
3.414818048477173,162
3.453505992889404,164
3.489351987838745,164
3.529865026473999,164
3.567425966262817,166
3.60577392578125,166
3.646044015884399,166
3.683897018432617,164
3.723448991775513,170
3.762603044509888,170
3.811622858047485,173
3.854293823242188,173
3.890703916549683,170
