Tall viser til kolonnenummer:
0=Tid, 1=Lys
0,35
0.07894802093505859,36
0.1577959060668945,36
0.232511043548584,36
0.3118641376495361,35
0.3914461135864258,35
0.4687950611114502,35
0.5370321273803711,35
0.6095600128173828,35
0.6759350299835205,35
0.7439460754394531,35
0.8186709880828857,35
0.9070920944213867,35
0.9890041351318359,36
1.055967092514038,36
1.13062596321106,36
1.211929082870483,37
1.289762020111084,38
1.371139049530029,39
1.449049949645996,41
1.523970127105713,42
1.610732078552246,44
1.680784940719604,44
1.749130964279175,46
1.834697008132935,46
1.909478902816772,47
1.983413934707642,47
2.056132078170776,47
2.128957986831665,47
2.20083212852478,47
2.268739938735962,47
2.343131065368652,46
2.427540063858032,45
2.510816097259521,43
2.582760095596313,42
2.65610408782959,41
2.733864068984985,40
2.821003913879395,38
2.889995098114014,37
2.96554708480835,35
3.037763118743896,34
3.112072944641113,33
3.192481994628906,33
3.270364046096802,32
3.346101045608521,31
3.42897891998291,30
3.504630088806152,30
3.58978009223938,29
3.66898512840271,28
3.747810125350952,27
3.822080135345459,27
3.893600940704346,27
3.970859050750732,27
4.041999101638794,27
4.113924026489258,27
4.184530973434448,27
4.272622108459473,27
4.352510929107666,27
4.45054292678833,28
4.538856029510498,28
4.632779121398926,30
4.711216926574707,30
4.802495956420898,30
4.886446952819824,32
4.974570989608765,34
5.075273990631104,35
5.155885934829712,36
5.247056007385254,38
5.33643913269043,41
5.419027090072632,44
5.506484985351563,46
5.615920066833496,47
5.712073087692261,48
5.81085991859436,47
5.894593954086304,47
5.97899603843689,47
6.0659339427948,45
6.149866104125977,42
6.238699913024902,40
6.327619075775146,36
6.420659065246582,33
6.50910496711731,31
6.592654943466187,29
6.681114912033081,28
6.774840116500854,27
6.856419086456299,27
6.936407089233398,27
7.020906925201416,27
7.102827072143555,27
7.188596963882446,28
7.294846057891846,29
7.384443044662476,30
7.483520030975342,32
7.584795951843262,36
7.660887002944946,37
7.740772008895874,41
7.818558931350708,43
7.897536993026733,45
7.970961093902588,45
8.049004077911377,43
8.121062994003296,41
8.19943904876709,39
8.278913021087646,35
8.355262041091919,33
8.434685945510864,31
8.520863056182861,28
8.593612909317017,28
8.670458078384399,27
8.74051308631897,27
8.816083908081055,27
8.888859033584595,27
8.968845129013062,28
9.042804956436157,28
9.120584011077881,30
9.20522403717041,32
9.279441118240356,35
9.353825092315674,37
9.429363965988159,39
9.503938913345337,42
9.594022989273071,46
9.670578956604004,47
9.740859031677246,46
9.825451135635376,39
9.90864896774292,33
9.980516910552979,30
10.07061409950256,27
10.14043998718262,27
10.20940208435059,27
10.30375599861145,29
10.39478611946106,31
10.47491908073425,35
10.5518810749054,38
10.6300060749054,43
10.70791101455689,47
10.78109312057495,47
10.86478900909424,45
10.94066190719605,39
11.01131105422974,33
11.0946319103241,28
11.16776204109192,26
11.25517606735229,27
11.33389210700989,29
11.41878294944763,32
11.49562191963196,37
11.58092999458313,43
11.66975712776184,43
11.75013709068298,38
11.82891798019409,32
11.91269111633301,27
11.98392605781555,28
12.06704211235047,32
12.14404892921448,40
12.22400093078613,45
12.30476093292237,38
12.38508605957031,32
12.47572898864746,28
12.56261992454529,32
12.6404709815979,37
12.71971297264099,37
12.80265498161316,30
12.87848901748657,28
12.96765112876892,35
13.03901505470276,44
13.11334300041199,42
13.18804693222046,35
13.27875304222107,30
13.35897612571716,36
13.44049310684204,39
13.51651096343994,34
13.60799598693848,29
13.68484592437744,35
13.76079511642456,44
13.83875298500061,37
13.91883111000061,28
14.00650596618652,33
14.09101605415344,43
14.16910910606384,40
14.24509811401367,30
14.32852101325989,32
14.41781902313233,45
14.49062895774841,42
14.57521605491638,31
14.65275096893311,29
14.73499298095703,38
14.82483601570129,40
14.9026849269867,31
14.97876501083374,30
15.05892205238342,37
15.13748812675476,46
15.22137713432312,34
15.30074095726013,30
15.37656712532043,37
15.45526790618896,45
15.53526091575623,33
15.62257409095764,28
15.70313692092896,36
15.77796196937561,43
15.85591411590576,33
15.91592907905579,28
15.95746207237244,30
