Tallformatet viser til kolonnenummer:
0=Ts, 1=Flow, 2=Volum 

0,0,0
0.080472946167,0,0.0
0.0668039321899,0,0.0
0.0702521800995,0,0.0
0.0701529979706,0,0.0
0.0690679550171,0,0.0
0.0754868984222,0,0.0
0.084300994873,-1,-0.084300994873
0.072695016861,0,-0.084300994873
0.0810251235962,0,-0.084300994873
0.0732769966125,0,-0.084300994873
0.0651068687439,0,-0.084300994873
0.0704550743103,0,-0.084300994873
0.0701580047607,0,-0.084300994873
0.064327955246,0,-0.084300994873
0.0640151500702,0,-0.084300994873
0.0680818557739,0,-0.084300994873
0.06804895401,0,-0.084300994873
0.0688071250916,0,-0.084300994873
0.0645620822907,0,-0.084300994873
0.0681359767914,0,-0.084300994873
0.06893491745,0,-0.084300994873
0.0669710636139,0,-0.084300994873
0.0712988376617,0,-0.084300994873
0.0798470973968,0,-0.084300994873
0.0740160942078,1,-0.0102849006653
0.0739829540253,1,0.06369805336
0.0744979381561,2,0.212693929672
0.0727570056915,2,0.358207941055
0.0848441123962,4,0.69758439064
0.0639078617096,4,0.953215837479
0.0758349895477,5,1.33239078522
0.0711131095886,5,1.68795633316
0.0710430145264,6,2.11421442032
0.0639629364014,7,2.56195497513
0.0849719047546,9,3.32670211792
0.0689079761505,9,3.94687390327
0.0824971199036,11,4.85434222221
0.0755078792572,11,5.68492889404
0.0726320743561,11,6.48388171196
0.0716679096222,11,7.2722287178
0.0796551704407,11,8.14843559265
0.0783479213715,12,9.08861064911
0.0639491081238,12,9.85599994659
0.0791809558868,11,10.7269904613
0.0765879154205,11,11.569457531
0.0783309936523,11,12.4310984612
0.0876340866089,11,13.3950734138
0.0712308883667,10,14.1073822975
0.0787060260773,8,14.7370305061
0.0965609550476,5,15.2198352814
0.0899660587311,4,15.5796995163
0.0781500339508,3,15.8141496181
0.0896310806274,1,15.9037806988
0.0926969051361,-1,15.8110837936
0.0812649726868,-1,15.729818821
0.0844900608063,-2,15.5608386993
0.0733649730682,-3,15.3407437801
0.0832970142365,-3,15.0908527374
0.076621055603,-5,14.7077474594
0.0894038677216,-6,14.1713242531
0.0781171321869,-6,13.70262146
0.0936079025269,-6,13.1409740448
0.089940071106,-8,12.421453476
0.101337909698,-8,11.6107501984
0.0961019992828,-8,10.8419342041
0.0798120498657,-8,10.2034378052
0.0824449062347,-8,9.5438785553
0.0855851173401,-9,8.77361249924
0.0819990634918,-9,8.03562092781
0.0678520202637,-9,7.42495274544
0.0697548389435,-9,6.79715919495
0.0671660900116,-9,6.19266438484
0.063453912735,-9,5.62157917023
0.0728631019592,-9,4.96581125259
0.0769739151001,-9,4.27304601669
0.0770721435547,-8,3.65646886826
0.0834839344025,-7,3.07208132744
0.0762259960175,-7,2.53849935532
0.0820970535278,-6,2.04591703415
0.0770049095154,-6,1.58388757706
0.0673279762268,-6,1.1799197197
0.0758810043335,-5,0.800514698029
0.076523065567,-4,0.49442243576
0.0763528347015,-3,0.265363931656
0.0843441486359,-2,0.0966756343842
0.0873279571533,-1,0.00934767723083
0.0680079460144,-1,-0.0586602687836
0.0872559547424,0,-0.0586602687836
0.0658230781555,1,0.00716280937194
0.0863800048828,2,0.179922819138
0.0711290836334,3,0.393310070038
0.0820519924164,5,0.80357003212
0.0756959915161,6,1.25774598122
0.0722000598907,7,1.76314640045
0.0774908065796,8,2.38307285309
0.0705571174622,9,3.01808691025
0.0673809051514,11,3.75927686691
0.0743231773376,13,4.7254781723
0.0817968845367,13,5.78883767128
0.0759620666504,12,6.70038247108
0.0860719680786,12,7.73324608803
0.0729238986969,12,8.60833287239
0.0785140991211,11,9.47198796272
0.0718200206757,11,10.2620081902
0.0745849609375,11,11.0824427605
0.0760478973389,11,11.9189696312
0.0821971893311,9,12.6587443352
0.0712559223175,8,13.2287917137
0.0771188735962,6,13.6915049553
0.0888321399689,4,14.0468335152
0.0772449970245,4,14.3558135033
0.085382938385,2,14.52657938
0.0801141262054,1,14.6066935062
0.0867919921875,-1,14.5199015141
0.073499917984,-1,14.4464015961
0.0950090885162,-2,14.256383419
0.0780029296875,-3,14.02237463
0.0905599594116,-4,13.6601347923
0.0861730575562,-6,13.143096447
0.080139875412,-6,12.6622571945
0.081582069397,-7,12.0911827087
0.0820679664612,-8,11.4346389771
0.0869171619415,-8,10.7393016815
0.076064825058,-8,10.1307830811
0.0985209941864,-8,9.34261512756
0.128792047501,-9,8.18348670006
0.105870008469,-8,7.33652663231
0.103851079941,-9,6.40186691284
0.0878779888153,-9,5.6109650135
0.0869958400726,-9,4.82800245285
0.0791721343994,-8,4.19462537766
0.069002866745,-8,3.6426024437
0.0764729976654,-7,3.10729146004
0.0798830986023,-6,2.62799286842
0.0711328983307,-6,2.20119547844
0.0733180046082,-5,1.8346054554
0.078122138977,-4,1.52211689949
0.0696139335632,-4,1.24366116524
