Tallformatet viser til kolonnenummer:
0=Ts, 1=PowerA, 
2=PowerB, 3=PowerC, 4=PowerD 
41,41,41
36,38.5,40.99500000000001
41,39.33333333333333,40.995005
39,39.25,40.993009995
39,39.2,40.991016985005
37,38.83333333333333,40.98702596802
36,38.42857142857143,40.98203894205198
42,38.875,40.98305690310993
37,38.66666666666667,40.97907384620682
40,38.80000000000001,40.97809477236061
37,38.63636363636364,40.97411667758824
35,38.33333333333333,40.96814256091065
41,38.53846153846154,40.96817441834974
39,38.57142857142857,40.96620624393139
38,38.53333333333333,40.96324003768745
37,38.4375,40.95927679764976
37,38.35294117647059,40.9553175208521
40,38.44444444444445,40.95436220333125
39,38.47368421052632,40.95240784112792
38,38.45000000000001,40.9494554332868
39,38.47619047619048,40.94750597785351
37,38.40909090909092,40.94355847187566
42,38.56521739130434,40.94461491340378
38,38.54166666666666,40.94167029849038
39,38.56,40.93972862819188
40,38.61538461538462,40.9387888995637
35,38.48148148148148,40.93285011066413
33,38.28571428571429,40.92491726055346
38,38.27586206896552,40.92199234329291
38,38.26666666666667,40.91907035094962
43,38.41935483870968,40.92115128059866
37,38.375,40.91723012931806
37,38.33333333333334,40.91331289918874
42,38.44117647058823,40.91439958628956
39,38.45714285714286,40.91248518670326
38,38.44444444444445,40.90957270151656
41,38.51351351351352,40.90966312881505
39,38.52631578947369,40.90775346568623
38,38.51282051282051,40.90484571222054
38,38.5,40.90194086650832
40,38.53658536585366,40.9010389256418
38,38.52380952380952,40.89813788671615
38,38.51162790697675,40.89523974882944
36,38.45454545454546,40.89034450908062
39,38.46666666666667,40.88845416457153
37,38.43478260869565,40.88456571040696
40,38.46808510638298,40.88368114469655
37,38.4375,40.87979746355185
39,38.44897959183673,40.8779176660883
41,38.5,40.87803974842221
39,38.50980392156863,40.87616170867379
39,38.51923076923077,40.87428554696512
38,38.50943396226415,40.87141126141815
42,38.57407407407407,40.87253985015674
40,38.6,40.87166731030658
38,38.58928571428572,40.86879564299627
38,38.57894736842105,40.86592684735328
38,38.56896551724138,40.86306092050592
42,38.6271186440678,40.86419785958541
40,38.65,40.86333366172583
33,38.55737704918033,40.8554703280641
35,38.5,40.84961485773603
40,38.52380952380952,40.8487652428783
34,38.453125,40.84191647763542
39,38.46153846153847,40.8400745611578
35,38.40909090909092,40.83423448659663
39,38.41791044776119,40.83240025211004
39,38.4264705882353,40.83056785185793
37,38.40579710144928,40.82673728400607
41,38.44285714285714,40.82691054672206
43,38.50704225352113,40.82908363617534
42,38.55555555555555,40.83025455253916
37,38.53424657534246,40.82642429798663
42,38.58108108108108,40.82759787368864
40,38.6,40.82677027581496
38,38.56,40.82394350553914
41,38.62666666666668,40.8241195620336
40,38.61333333333334,40.82329544247156
38,38.6,40.82047214702909
39,38.6,40.81865167488206
38,38.61333333333334,40.81583302320717
35,38.6,40.81001719018396
37,38.53333333333334,40.80620717299378
41,38.58666666666667,40.80640096582078
38,38.56,40.80359456485495
34,38.52,40.7967909702901
39,38.57333333333334,40.79499417931981
40,38.56,40.79419918514049
37,38.53333333333334,40.79040498595535
38,38.53333333333334,40.78761458096938
40,38.57333333333334,40.78682696638841
40,38.61333333333334,40.78604013942202
37,38.57333333333334,40.7822540992826
42,38.61333333333334,40.78347184518331
41,38.65333333333334,40.78368837333813
40,38.66666666666667,40.78290468496479
41,38.72000000000001,40.78312178027982
38,38.66666666666667,40.78033865849954
34,38.61333333333334,40.77355831984104
39,38.61333333333334,40.77178476152119
40,38.61333333333334,40.77101297675967
45,38.74666666666667,40.77524196378291
38,38.81333333333334,40.77246672181913
40,38.84,40.7716942550973
42,38.89333333333334,40.7729225608422
39,38.84,40.77114963828136
36,38.82666666666667,40.76637848864308
38,38.84,40.76361211015445
41,38.82666666666667,40.76384849804429
40,38.84,40.76308464954624
37,38.82666666666667,40.75932156489669
37,38.77333333333334,40.75556224333179
38,38.76000000000001,40.75280668108845
38,38.76000000000001,40.75005387440735
38,38.76000000000001,40.74730382053295
37,38.72000000000001,40.74355651671242
37,38.70666666666667,40.7398129601957
41,38.74666666666667,40.74007314723551
40,38.80000000000001,40.73933307408828
38,38.78666666666667,40.73659374101418
35,38.76000000000001,40.73085714727316
41,38.77333333333334,40.73112629012589
33,38.72000000000001,40.72339516383576
38,38.70666666666667,40.72067176867193
37,38.65333333333334,40.71695109690324
42,38.69333333333334,40.71823414580634
43,38.74666666666667,40.72051591166054
35,38.70666666666667,40.71479539574887
39,38.66666666666667,40.71308060035313
43,38.70666666666667,40.71536751975277
39,38.72000000000001,40.71365215223302
37,38.70666666666667,40.70993850008079
41,38.74666666666667,40.7102285615807
37,38.68,40.70651833301912
40,38.68,40.70581181468611
43,38.81333333333334,40.70810600287142
