Tall viser til kolonnenummer:
0=Tid, 1=Temp, 2=, 3= 
4=, 5=, 6=, 7= 
8=, 9= 
0,22
0.07343506813049316,22
0.1281740665435791,22
0.1845149993896484,22
0.2411909103393555,22
0.3048970699310303,22
0.3603620529174805,22
0.424232006072998,22
0.48573899269104,22
0.5413179397583008,22
0.6035828590393066,22
0.6635758876800537,22
0.7167408466339111,22
0.7756290435791016,22
0.8345768451690674,22
0.8996708393096924,22
0.9550039768218994,22
1.013440847396851,22
1.071390867233276,22
1.130915880203247,22
1.189398050308228,22
1.243428945541382,23
1.304311037063599,22
1.359658002853394,22
1.417263984680176,22
1.473464012145996,22
1.533639907836914,22
1.587656021118164,22
1.650552988052368,22
1.710672855377197,22
1.766741991043091,23
1.824846029281616,22
1.880131959915161,24
1.94744086265564,23
2.015444040298462,35
2.085756063461304,39
2.145478010177612,40
2.202970027923584,40
2.270107984542847,41
2.333096027374268,42
2.386916875839233,42
2.453181028366089,44
2.511138916015625,45
2.570240020751953,47
2.623772859573364,48
2.680016040802002,50
2.734566926956177,51
2.791946887969971,52
2.849488973617554,53
2.909492015838623,55
2.969584941864014,55
3.021946907043457,55
3.078289031982422,59
3.13438892364502,60
3.19124698638916,62
3.253089904785156,64
3.310287952423096,65
3.367138862609863,67
3.429715871810913,70
3.489387989044189,72
3.550112009048462,74
3.607643842697144,76
3.661597013473511,77
3.724323987960815,79
3.786510944366455,81
3.854418039321899,84
3.914177894592285,88
3.968759059906006,91
4.030303001403809,94
4.086915969848633,98
4.14622688293457,100
4.198960065841675,100
4.248412847518921,100
4.31029486656189,100
4.363096952438354,100
4.420403003692627,100
4.474760055541992,100
4.529496908187866,100
4.590003967285156,100
4.635295867919922,100
4.691153049468994,100
4.743767976760864,100
4.804313898086548,100
4.856055021286011,100
4.917330026626587,100
4.968888998031616,100
5.034384965896606,100
5.087015867233276,100
5.140257835388184,100
5.194107055664063,100
5.22326397895813,100
5.253603935241699,100
5.283504962921143,100
