Tallformatet viser til kolonnenummer:
0=Ts, 1=PowerA, 
2=PowerB, 3=PowerC, 4=PowerD 
46,46,46
37,41.5,45.91
39,40.66666666666666,45.8409
47,42.25000000000001,45.852491
41,42.0,45.80396608999999
42,42.0,45.7659264291
35,41.00000000000001,45.65826716480899
35,40.25,45.5516844931609
47,41.00000000000001,45.56616764822929
41,41.00000000000001,45.52050597174699
37,40.63636363636364,45.43530091202952
37,40.33333333333333,45.35094790290922
43,40.53846153846155,45.32743842388013
44,40.78571428571428,45.31416403964132
41,40.8,45.27102239924491
42,40.53333333333334,45.23831217525246
40,40.73333333333333,45.18592905349993
43,41.00000000000001,45.16406976296493
39,40.46666666666667,45.10242906533529
41,40.46666666666667,45.06140477468193
45,40.66666666666666,45.06079072693512
37,40.8,44.98018281966576
44,41.4,44.97038099146911
40,40.93333333333333,44.92067718155441
47,41.33333333333334,44.94147040973886
43,41.73333333333334,44.92205570564148
38,41.8,44.85283514858507
45,41.93333333333333,44.85430679709922
37,41.46666666666667,44.77576372912822
40,41.4,44.72800609183694
40,41.26666666666667,44.68072603091858
45,41.6,44.68391877060939
42,41.53333333333333,44.6570795829033
37,41.4,44.58050878707426
41,41.4,44.54470369920351
34,40.66666666666666,44.43925666221148
44,41.13333333333333,44.43486409558936
40,40.86666666666667,44.39051545463347
38,40.73333333333333,44.32661030008713
39,40.2,44.27334419708626
42,40.13333333333334,44.2506107551154
45,40.6,44.25810464756425
33,39.8,44.1455236010886
36,39.73333333333334,44.06406836507771
35,39.4,43.97342768142694
44,39.66666666666667,43.97369340461267
41,39.4,43.94395647056654
48,39.8,43.98451690586087
41,40.06666666666667,43.95467173680226
39,39.93333333333333,43.90512501943423
33,39.86666666666667,43.79607376923988
40,39.6,43.75811303154748
42,39.73333333333334,43.74053190123202
40,39.86666666666667,43.70312658221969
42,40.06666666666667,43.68609531639749
44,40.2,43.68923436323352
38,39.73333333333334,43.63234201960118
35,39.86666666666667,43.54601859940518
44,40.4,43.55055841341112
46,41.13333333333333,43.57505282927701
43,41.06666666666666,43.56930230098423
39,40.93333333333333,43.5236092779744
41,40.46666666666667,43.49837318519465
38,40.26666666666666,43.44338945334271
45,40.66666666666666,43.45895555880928
35,40.8,43.37436600322119
45,41.13333333333333,43.39062234318898
35,40.66666666666666,43.30671611975709
43,40.86666666666667,43.30364895855952
44,41.00000000000001,43.31061246897392
39,40.66666666666666,43.26750634428419
